fullname,address,code,name_province,cid_province,name_city,cid_city,phone_seal,phone_service,lat,lng,region
广汽埃安北京房山体验中心,北京市房山区饶乐府村村西6幢,BJA0900,北京市,110000,北京市,110100,010-89330818,010-89339968,39.708709,116.009912,华北大区
广汽埃安北京房山澎湃展示中心,北京市房山区阎村镇前沿村村委会南280米（房山澎湃汽车园）,BJA0900-1,北京市,110000,北京市,110100,,,39.727415,116.109440,华北一区
广汽埃安北京大兴体验中心,北京大兴区西红门镇中鼎路16号,BJA6000,北京市,110000,北京市,110100,010-60290715,010-60296960,39.733910,116.425308,华北一区
广汽埃安北京石景山首钢园展示中心,北京市石景山区首钢园六工汇购物广场一层105,BJA0210-1,北京市,110000,北京市,110100,,,39.921610,116.163696,华北一区
广汽埃安北京石景山古城体验中心,北京市石景山区北京国际汽车贸易服务园F区4号,BJA0160,北京市,110000,北京市,110100,010-68876625,010-67780992/68876676,39.921809,116.188622,华北一区
广汽埃安北京鑫敏恒槐房万达展示中心,北京市丰台区南苑西路39号（槐房万达）,BJA6000-1,北京市,110000,北京市,110100,,,39.820321,116.374596,华北一区
广汽埃安北京丰台体验中心, 北京市丰台区南三环西路28号,BJA0400,北京市,110000,北京市,110100,010-67589520,010-67588520,39.858213,116.363487,华北一区
广汽埃安北京金泰凯迪昌平万达展示中心,北京市昌平区乐多港万达广场1006,BJA0130-1,北京市,110000,北京市,110100,,,39.908035,116.298010,华北一区
广汽埃安北京朝阳成寿寺体验中心,北京市朝阳区成寿寺路甲131号,BJA0100,北京市,110000,北京市,110100,010-63335188,010-63388088,39.849174,116.453195,华北一区
广汽埃安北京奥森世纪金源商超展示中心,北京市海淀区远大路1号世纪金源,BJA0190-1,北京市,110000,北京市,110100,,,39.964514,116.294006,华北一区
广汽埃安北京凯瑞翔通体验中心,北京市朝阳区五方桥东侧200米路北（京哈高速辅路）,BJA0500,北京市,110000,北京市,110100,010-65770060,010-65770902,39.875416,116.563720,华北大区
广汽埃安北京青年路北投公园商超展示中心,北京市朝阳区奥体中路北京冬奥村（北投公园）,BJA0180-1,北京市,110000,北京市,110100,,,39.987560,116.404610,华北一区
广汽埃安北京奥森体验中心,北京市朝阳区花虎沟99号院1号楼1层101,BJA0190,北京市,110000,北京市,110100,010-62958611,010-62958622,40.025264,116.364853,华北一区
广汽埃安北京连成鹏体验中心,北京市海淀区清河小营桥北300米路西,BJA0210,北京市,110000,北京市,110100,010-60605160,010-60605167,40.047668,116.344993,华北一区
广汽埃安北京朝阳北路体验中心,北京市朝阳区朝阳北路39号平房,BJA0150,北京市,110000,北京市,110100,010-65777272,010-65777070,39.924392,116.559368,华北一区
广汽埃安北京青年路体验中心,北京市朝阳区李家坟5号11幢平房南侧,BJA0180,北京市,110000,北京市,110100,010-85758188,010-85758288,39.943310,116.537061,华北一区
广汽埃安北京望京体验中心,北京市朝阳区来广营西路18号,BJA0800,北京市,110000,北京市,110100,010-84919919,010-84918886,40.020000,116.443333,华北一区
广汽埃安北京朝阳金隅嘉展示中心,北京市朝阳区东坝中路38号金隅嘉,BJA0100-1,北京市,110000,北京市,110100,,,39.957584,116.554712,华北一区
广汽埃安北京凯瑞翔通罗斯福商超展示中心,北京市通州区领展购物广场1层107号,BJA0500-1,北京市,110000,北京市,110100,010-65770060,010-65770902,39.894721,116.665718,华北大区
广汽埃安北京凯瑞翔通通州爱琴海展示中心,北京市通州区爱琴海购物公园1层,BJA0500-2,北京市,110000,北京市,110100,,,39.915434,116.665117,华北一区
广汽埃安北京金泰凯迪体验中心,北京市昌平区北辰亚运村汽车交易市场3-4广汽埃安,BJA0130,北京市,110000,北京市,110100,010-81776166-1,010-80129166,40.093218,116.417181,华北一区
广汽埃安北京昌平体验中心,北京市昌平区昌平镇西关环岛西北侧27号楼002室,BJA0220,北京市,110000,北京市,110100,17600205767,18511688806,40.228084,116.224034,华北一区
广汽埃安北京顺义体验中心,北京市顺义区天竺地区府前一街3号,BJA0700,北京市,110000,北京市,110100,010-53247782,010-53247787,40.066913,116.590632,华北大区
广汽埃安北京金泰凯迪延庆万达展示中心,北京市延庆区新城街与庆园街交叉路口往北约150米（万达广场）,BJA0130-2,北京市,110000,北京市,110100,010-81776166,010-81776166,40.474351,115.983867,华北一区
广汽埃安北京方正利成怀柔万达展示中心,北京市怀柔区府前西街1号院1号楼（青春万达广场1层1013）,BJA0800-2,北京市,110000,北京市,110100,,,40.323095,116.636247,华北一区
广汽埃安北京朝阳北路平谷华联展示中心,北京市平谷区迎宾街1号院22号楼 （华联购物中心）,BJA0150-1,北京市,110000,北京市,110100,,,40.144840,117.087652,华北一区
广汽埃安北京密云体验中心,北京市密云区十里堡镇排山汽车城内,BJA0170,北京市,110000,北京市,110100,010-89098899,010-89096699,40.357566,116.795702,华北一区
广汽埃安天津捷通达静海展示中心,天津市河东区津滨大道160号爱琴海购物公园1层135号,TJA0300-3,天津市,120000,天津市,120100,,,38.952095,117.011923,华北一区
广汽埃安天津中北体验中心,天津市西青区中北镇卉康道14号,TJA0600,天津市,120000,天津市,120100,022-27915500,022-27916622,39.116303,117.105179,华北一区
广汽埃安天津大寺体验中心,天津市西青区大寺镇储源道6号A区,TJA0120,天津市,120000,天津市,120100,022-23978855,022-23970066,38.994911,117.280071,华北一区
广汽埃安天津捷通达大寺展示中心,天津市西青区大寺镇储源道,TJA0300-4,天津市,120000,天津市,120100,,,38.997805,117.277339,华北一区
广汽埃安天津河西西青万达商超展示中心,天津市西青区津港公路与兴华道交叉口西北方180米（西青万达）,TJA0100-3,天津市,120000,天津市,120100,,,39.025614,117.244238,华北一区
广汽埃安天津南开长江体验中心,天津市南开区咸阳路74号,TJA0800,天津市,120000,天津市,120100,022-87089966,022-87085599,39.137807,117.144883,华北一区
广汽埃安天津河西体验中心, 天津市河西区解放南路613号,TJA0100,天津市,120000,天津市,120100,022-88241000,022-88233305,39.062446,117.238906,华北一区
广汽埃安天津中北新业天地展示中心,天津市河西区黑牛城道125号（新业广场）,TJA0600-1,天津市,120000,天津市,120100,,,39.082954,117.221617,华北一区
广汽埃安天津天河城展示中心,天津和平路263号天河城购物中心一层112,TJA0700-1,天津市,120000,天津市,120100,13512088353,13512088353,39.133519,117.210292,华北一区
广汽埃安天津双街辛庄展示中心,天津市津南区辛庄镇辛柴公路2号,TJA0700-4,天津市,120000,天津市,120100,,,39.021738,117.352361,华北一区
广汽埃安天津北辰辰悦商超展示中心,天津市北辰区京津路与天马道交叉口（辰悦广场）,TJA0400-1,天津市,120000,天津市,120100,,,39.218214,117.147299,华北一区
广汽埃安天津爱琴海展示中心,天津市河东区津滨大道160号爱琴海购物公园1层135号,TJA0300-2,天津市,120000,天津市,120100,022-60376666,022-60376060,39.127754,117.261522,华北大区
广汽埃安天津双街体验中心,天津市北辰区双街镇京津公路东双江道南庞大汽贸园内19号,TJA0700,天津市,120000,天津市,120100,13512088353,18920026682,39.257044,117.126105,华北一区
广汽埃安天津东丽万达展示中心,天津市东丽区先锋东路6号（东丽万达）,TJA0100-2,天津市,120000,天津市,120100,,,39.076431,117.358576,华北一区
广汽埃安天津津南体验中心,天津市津南区葛沽镇盛裕园2号B区,TJA0110,天津市,120000,天津市,120100,022-58203600,022-58203600,38.980000,117.490000,华北一区
广汽埃安天津双街北辰远洋未来城展示中心,天津市北辰区宜兴埠立交桥南侧（北辰远洋未来城）,TJA0700-5,天津市,120000,天津市,120100,,,39.208920,117.227214,华北一区
广汽埃安天津北辰体验中心,天津市北辰区北辰道2号浩物汽车园东门,TJA0400,天津市,120000,天津市,120100,022-85101818,022-85101010,39.255701,117.181488,华北大区
广汽埃安天津捷通达体验中心,天津自贸试验区（空港经济区）汽车园中路31号-3,TJA0300,天津市,120000,天津市,120100,022-60376666,022-60376060,39.166054,117.381561,华北一区
广汽埃安天津津滨体验中心,天津市滨海新区河南路1156号,TJA0900,天津市,120000,天津市,120100,(022) 6063 1238,13012202898,39.001854,117.661325,华北一区
广汽埃安天津自贸区滨海展示中心,天津市开发区黄海路133号,TJA0300-1,天津市,120000,天津市,120100,暂无,暂无,39.051460,117.700478,华北一区
广汽埃安天津河西蓟州展示中心,天津市蓟州区中昌南路（别山镇科科村汽车街）,TJA0100-4,天津市,120000,天津市,120100,,,40.006003,117.426419,华北一区
广汽埃安石家庄新石体验中心,河北省石家庄市桥西区西二环与新石中路交口北行30米路东,HEA0200,河北省,130000,石家庄市,130100,0311-83831234,0311-83807888,38.020000,114.440000,华南二区
广汽埃安石家庄新华勒泰广场展示中心,石家庄市长安区中山东路39号勒泰广场,HEA0100-2,河北省,130000,石家庄市,130100,,,38.050856,114.513342,华北一区
广汽埃安石家庄裕华万达展示中心,石家庄市裕华区建华南大街136号苏宁易购广场一层W1186号,HEA3000-2,河北省,130000,石家庄市,130100,,,38.029620,114.552240,华北二区
广汽埃安石家庄北二环体验中心,石家庄市北二环西路127号,HEA3000,河北省,130000,石家庄市,130100,0311-85320988,0311-66630893,38.092740,114.468714,华北二区
广汽埃安石家庄新华盛典体验中心,河北省石家庄市新华区北二环西路228号,HEA0400,河北省,130000,石家庄市,130100,0311-66530111,0311-66637000,38.090873,114.479830,华北二区
广汽埃安石家庄裕华时代体验中心,河北省石家庄市裕华区裕华东路166号时代广场汽贸园内东侧,HEA0300,河北省,130000,石家庄市,130100,0311-89896588,0311-89896566,38.042278,114.578363,华北二区
广汽埃安石家庄汽车园区体验中心,河北省石家庄市长安区北二环东路86号汽车贸易园阳光大道8号,HEA3000-3,河北省,130000,石家庄市,130100,0311-66692336,0311-66692203,38.077690,114.556249,华北二区
广汽埃安石家庄珺玥体验中心,河北省石家庄市新华区和平西路与植物园街交汇处西行100米路南商铺,HEA0100,河北省,130000,石家庄市,130100,18531164030,18633854030,38.415000,114.233000,华北二区
广汽埃安唐山高新体验中心,唐山市路北区高新机场路立交桥北侧荣川汽车园区,HEB0200,河北省,130000,唐山市,130200,0315-5511004,0315-5511145,39.670429,118.107460,华北二区
广汽埃安唐山路南体验中心,河北省唐山市路南区汽车文化展示园（广汽埃安体验中心）,HEB0300,河北省,130000,唐山市,130200,0315-5933355,0315-5933366,39.600917,118.199808,华北一区
广汽埃安唐山开平爱琴海商超展示中心,唐山市路北区北新道与卫国路交汇处西南角（爱琴海）,HEB0100-2,河北省,130000,唐山市,130200,,,39.675623,118.169973,华北一区
广汽埃安唐山开平体验中心,河北省唐山市开平区开平镇西八里村东,HEB0100,河北省,130000,唐山市,130200,,,39.650510,118.268034,华南二区
广汽埃安秦皇岛海港展示中心,秦皇岛市海港区东港北路45号,HEC3000,河北省,130000,秦皇岛市,130300,0335-5285777,0335-8525666,39.980686,119.640489,华北二区
广汽埃安邯郸邯山体验中心,河北省邯郸市邯山区南环路与机场路交叉口东200米路南,HED3000,河北省,130000,邯郸市,130400,0310-7535111,0310-7535111,36.573169,114.462564,华北一区
广汽埃安邯郸南环体验中心,河北省邯郸市邯山区南环路与机场路交叉口东行400米路南东侧A区A01,HED0200,河北省,130000,邯郸市,130400,13373105202,0310-7152009,36.573099,114.463376,华北一区
广汽埃安邯郸悦然城展示中心,邯郸市邯山区中华大街南环路立交桥东南角（美的-悦然广场）,HED3000-2,河北省,130000,邯郸市,130400,0310-7535111,0310-7535111,36.572192,114.496709,华北二区
广汽埃安邯郸邯山丛台展示中心,邯郸市雪驰路与东环路交叉口东行100米路北,HED3000-4,河北省,130000,邯郸市,130400,0310-7535111,0310-7535111,36.598544,114.546851,华北二区
广汽埃安邯郸广星美乐城展示中心,河北省邯郸市丛台区人民东路456号美乐城中厅S2112,HED3000-3,河北省,130000,邯郸市,130400,,,36.612812,114.531236,华南二区
广汽埃安邯郸北环体验中心,北环路与铁西大街交叉口西行50米路北,HED0100,河北省,130000,邯郸市,130400,13363068788,13363068788,36.661884,114.512917,华北二区
广汽埃安邢台环洁体验中心,河北省邢台市桥东区龙岗大街与永安路交叉口西北角23号,HEE3000,河北省,130000,邢台市,130500,0319-5036345,0319-7530313,37.024018,114.563213,华北二区
广汽埃安邢台襄都万达展示中心,河北省邢台市襄都区万达一层1063号商铺,HEE3000-1,河北省,130000,邢台市,130500,0319-5208802,,37.098282,114.530704,华北二区
广汽埃安邢台北环体验中心,河北省邢台市襄都区龙岗大街918-6号,HEE0100,河北省,130000,邢台市,130500,0319-3931666,0319-3903888,37.117433,114.555099,华北一区
广汽埃安邢台环洁桥东展示中心,邢台市桥东区龙岗东大街汽车园区内,HEE3000-2,河北省,130000,邢台市,130500,,,39.922529,116.192561,华北一区
广汽埃安保定世纪车城定州展示中心,保定市定州市清风北路与107交叉口路东,HEF0200-2,河北省,130000,保定市,130600,,,38.539474,114.995172,华北一区
广汽埃安保定清苑体验中心,河北省保定市清苑区和平路361号,HEF0300,河北省,130000,保定市,130600,5807878,5807979,38.752568,115.486388,华北二区
广汽埃安保定世纪车城体验中心,河北省保定市莲池区南大园乡长城南大街1485号世纪汽车城院内,HEF0200,河北省,130000,保定市,130600,18703127388,13831278851,38.835224,115.513211,华北二区
广汽埃安保定清苑高新展示中心,河北省保定市创业路359号,HEF0300-1,河北省,130000,保定市,130600,5897688 ,5897988,38.906484,115.457092,华北二区
广汽埃安保定科苑体验中心,保定市莲池区七一东路2456号中冀汽车集团园区,HEF3000,河北省,130000,保定市,130600,5997995,5019385,38.885238,115.564722,华北一区
广汽埃安张家口高新体验中心,河北省张家口市经济开发区沙岭子镇太师湾村大山口张宣公路东7号,HEG0100,河北省,130000,张家口市,130700,0313-3236688,0313-3236688,40.677502,114.942305,华北二区
广汽埃安沧州泰盛吾悦展示中心,沧州市运河区海河西路沧兴加油站西侧约210米（吾悦广场）,HEJ3000-2,河北省,130000,沧州市,130900,,,38.279227,116.834483,华北二区
广汽埃安沧州开发区体验中心,沧州市新华区开发区三胜车管所东行50米,HEJ3000,河北省,130000,沧州市,130900,0317-7571555,0317-7973111,38.296272,116.939842,华北二区
广汽埃安沧州新华体验中心,河北省沧州市新华区长芦北大道与渤海路交叉口,HEJ0100,河北省,130000,沧州市,130900,0317-2046666,0317-3011158,38.351815,116.904973,华北一区
广汽埃安沧州任丘万达展示中心,,HEJ3000-1,河北省,130000,沧州市,130900,,,0.000000,0.000000,华北二区
广汽埃安廊坊广阳体验中心,廊坊市广阳区廊万路188号,HER3000,河北省,130000,廊坊市,131000,0316-2205777,0316-2206777,39.551595,116.657714,华北一区
广汽埃安廊坊广阳展示中心,河北省廊坊市广阳区东安路183号,HER3000-1,河北省,130000,廊坊市,131000,0316-2180555,,39.526167,116.743631,华北一区
广汽埃安衡水高新体验中心,河北省衡水市高新区胜利西路昌明大街688号6栋1-2层,HET3000,河北省,130000,衡水市,131100,0318-2157777,0318-8885018,37.738791,115.643493,华北二区
广汽埃安衡水北环体验中心,河北省衡水市高新区北外环东路597号,HET0100,河北省,130000,衡水市,131100,0318-2638000,0318-2637000,37.774817,115.712969,华北一区
广汽埃安太原大昌汽车城体验中心,山西省太原市小店区平阳南路88号小马汽贸园,SXA0100,山西省,140000,太原市,140100,0351-3297888,0351-3297999,37.788606,112.560337,华北二区
广汽埃安太原南中环体验中心,山西省太原市晋源区新晋祠路488号山西万国汽车贸易服务园二环,SXA0300,山西省,140000,太原市,140100,0351-6361666,0351-6329508,37.802185,112.535561,华北一区
广汽埃安太原龙城体验中心,山西省太原市小店区马练营路59号,SXA0200,山西省,140000,太原市,140100,0351-5237599,0351-5237600,37.766728,112.614767,华北二区
广汽埃安太原新晋祠路展示中心,山西省太原市万柏林区新晋祠路汇豪新能源汽车城,SXA0200-2,山西省,140000,太原市,140100,0351-6850688,0351-5237600,37.831209,112.535345,华北二区
广汽埃安太原龙城铜锣湾展示中心,太原市迎泽区五一路77号铜锣湾国际购物中心,SXA0200-4,山西省,140000,太原市,140100,,,37.875290,112.577872,华北二区
广汽埃安太原富力广场展示中心,山西省太原市杏花岭区北中环街富力广场一层,SXA0200-3,山西省,140000,太原市,140100,0351-6620588,0351-5237600,37.905165,112.601317,华北二区
广汽埃安大同平城体验中心,山西省大同市平城区魏都大道688号,SXB0100,山西省,140000,大同市,140200,0352-5390088,0352-5398800,40.050438,113.295235,华北二区
广汽埃安阳泉李荫路体验中心,阳泉市市郊区李荫路汉河沟路段,SXC0100,山西省,140000,阳泉市,140300,,,37.916714,113.575264,华北一区
广汽埃安长治潞州体验中心,山西省长治市潞州区解放西街火车站东 500米路南,SXD0100,山西省,140000,长治市,140400,0355-5050558,0355-5050558,36.191221,113.083202,华北一区
广汽埃安长治潞州展示中心,山西省长治市长治高新技术产业开发区北外环路路北华信汽贸园东区2排,SXD3000,山西省,140000,长治市,140400,0355-2023355,0355-2023355,36.219906,113.121234,华北二区
广汽埃安长治北环万达展示中心,长治市潞州区英雄北路222号（万达广场）,SXD3000-2,山西省,140000,长治市,140400,,,36.223978,113.133911,华北二区
广汽埃安长治北环金威展示中心,长治市潞城区晋水社区东（金威购物广场）,SXD3000-1,山西省,140000,长治市,140400,139 9468 9336,,36.328206,113.217364,华北二区
广汽埃安晋城西环体验中心,晋城市城区西环路3888号,SXE0100,山西省,140000,晋城市,140500,0356-8989586,,35.510005,112.809438,华北一区
广汽埃安晋城凤城展示中心,山西省晋城市城区西街街道凤展购物广场有限公司新时代店1楼L-1101,SXE3000,山西省,140000,晋城市,140500,0356-2226601,0356-2226602,35.479252,112.852990,华北二区
广汽埃安晋中万达体验中心,晋中市山西示范区晋中开发区汇通产业园区汇通路（晋中开发区汽贸园2号）,SXK3000,山西省,140000,晋中市,140700,0354-3980018,0351-7781177,37.702961,112.717160,华北一区
广汽埃安晋中万达展示中心,山西省晋中市榆次区新建北路556号万达广场1层1062号商铺,SXK3000-1,山西省,140000,晋中市,140700,0354-3980018,0351-7781177,37.724304,112.745488,华北二区
