,name,address,province,city,tel,lat,lng,brand,type
0,广汽埃安北京房山体验中心,北京市房山区饶乐府村村西6幢,北京市,北京市,010-89339968,39.708709,116.009912,埃安,
1,广汽埃安北京房山澎湃展示中心,北京市房山区阎村镇前沿村村委会南280米（房山澎湃汽车园）,北京市,北京市,,39.727415,116.10944,埃安,
2,广汽埃安北京大兴体验中心,北京大兴区西红门镇中鼎路16号,北京市,北京市,010-60296960,39.73391,116.425308,埃安,
3,广汽埃安北京石景山首钢园展示中心,北京市石景山区首钢园六工汇购物广场一层105,北京市,北京市,,39.92161,116.163696,埃安,
4,广汽埃安北京石景山古城体验中心,北京市石景山区北京国际汽车贸易服务园F区4号,北京市,北京市,010-67780992/68876676,39.921809,116.188622,埃安,
5,广汽埃安北京鑫敏恒槐房万达展示中心,北京市丰台区南苑西路39号（槐房万达）,北京市,北京市,,39.820321,116.374596,埃安,
6,广汽埃安北京丰台体验中心, 北京市丰台区南三环西路28号,北京市,北京市,010-67588520,39.858213,116.363487,埃安,
7,广汽埃安北京金泰凯迪昌平万达展示中心,北京市昌平区乐多港万达广场1006,北京市,北京市,,39.908035,116.29801,埃安,
8,广汽埃安北京朝阳成寿寺体验中心,北京市朝阳区成寿寺路甲131号,北京市,北京市,010-63388088,39.849174,116.453195,埃安,
9,广汽埃安北京奥森世纪金源商超展示中心,北京市海淀区远大路1号世纪金源,北京市,北京市,,39.964514,116.294006,埃安,
10,广汽埃安北京凯瑞翔通体验中心,北京市朝阳区五方桥东侧200米路北（京哈高速辅路）,北京市,北京市,010-65770902,39.875416,116.56372,埃安,
11,广汽埃安北京青年路北投公园商超展示中心,北京市朝阳区奥体中路北京冬奥村（北投公园）,北京市,北京市,,39.98756,116.40461,埃安,
12,广汽埃安北京奥森体验中心,北京市朝阳区花虎沟99号院1号楼1层101,北京市,北京市,010-62958622,40.025264,116.364853,埃安,
13,广汽埃安北京连成鹏体验中心,北京市海淀区清河小营桥北300米路西,北京市,北京市,010-60605167,40.047668,116.344993,埃安,
14,广汽埃安北京朝阳北路体验中心,北京市朝阳区朝阳北路39号平房,北京市,北京市,010-65777070,39.924392,116.559368,埃安,
15,广汽埃安北京青年路体验中心,北京市朝阳区李家坟5号11幢平房南侧,北京市,北京市,010-85758288,39.94331,116.537061,埃安,
16,广汽埃安北京望京体验中心,北京市朝阳区来广营西路18号,北京市,北京市,010-84918886,40.02,116.443333,埃安,
17,广汽埃安北京朝阳金隅嘉展示中心,北京市朝阳区东坝中路38号金隅嘉,北京市,北京市,,39.957584,116.554712,埃安,
18,广汽埃安北京凯瑞翔通罗斯福商超展示中心,北京市通州区领展购物广场1层107号,北京市,北京市,010-65770902,39.894721,116.665718,埃安,
19,广汽埃安北京凯瑞翔通通州爱琴海展示中心,北京市通州区爱琴海购物公园1层,北京市,北京市,,39.915434,116.665117,埃安,
20,广汽埃安北京金泰凯迪体验中心,北京市昌平区北辰亚运村汽车交易市场3-4广汽埃安,北京市,北京市,010-80129166,40.093218,116.417181,埃安,
21,广汽埃安北京昌平体验中心,北京市昌平区昌平镇西关环岛西北侧27号楼002室,北京市,北京市,18511688806,40.228084,116.224034,埃安,
22,广汽埃安北京顺义体验中心,北京市顺义区天竺地区府前一街3号,北京市,北京市,010-53247787,40.066913,116.590632,埃安,
23,广汽埃安北京金泰凯迪延庆万达展示中心,北京市延庆区新城街与庆园街交叉路口往北约150米（万达广场）,北京市,北京市,010-81776166,40.474351,115.983867,埃安,
