name,address,lat,lng,tel,city,province,type,brand
芯图大厦展示中心杭州,物联网街451号芯图大厦,30.209219,120.223901,18100186684,杭州市,浙江省,体验中心,零跑
萧山奥体印象城店杭州,盈丰街道飞虹路1408号奥体印象城负1楼B1-10号,30.223058,120.25318,18106563870,杭州市,浙江省,体验中心,零跑
萧山宝龙店杭州,建设一路与金鸡路交叉口萧山宝龙广场L1-132~135,30.195704,120.25325,18100185423,杭州市,浙江省,体验中心,零跑
钱江店杭州,高德置地中心3幢101室一层102商铺,30.243276,120.20922,19560155083,杭州市,浙江省,体验中心,零跑
金一路店杭州,金一路111号,30.208954,120.259007,,杭州市,浙江省,服务中心,零跑
丁桥天街店杭州,丁桥天街商场A-1F-43号,30.350712,120.215812,17799866208,杭州市,浙江省,体验中心,零跑
永旺梦乐城店杭州,良渚街道古墩路 1888 号，永旺梦乐城商场内一楼零跑汽车,30.3605079,120.0592058,13505816433,杭州市,浙江省,体验中心,零跑
余杭江南时代店杭州,余杭街道江南时代购物中心1F-017、017-1,30.26,119.95,0571-88520112,杭州市,浙江省,体验中心,零跑
西溪银泰店杭州,杭州市西湖区双龙街西溪银泰城一楼01035铺号零跑汽车,30.29,120.08,18100170192,杭州市,浙江省,体验中心,零跑
西溪印象城店杭州,西溪印象城二期一层,30.246752,120.04765,13588302103,杭州市,浙江省,体验中心,零跑
远洋乐堤港店杭州,大关路58号远洋乐堤港A162-1,30.305481,120.143221,15858207378,杭州市,浙江省,体验中心,零跑
金地广场店杭州,良渚街道古墩路1333号杭州金地广场F1楼F135号商铺,30.339154,120.083034,18757590676,杭州市,浙江省,体验中心,零跑
富阳银泰店杭州,春秋北路 271 号玉长城商业广场步行街编号为 [W1011 ]的铺位,30.060489,119.941349,18329182100,杭州市,浙江省,体验中心,零跑
新天地购物中心店杭州,长浜路718号新天地购物中心一楼1039A,30.32255285,120.1805239,0571-85107232,杭州市,浙江省,体验中心,零跑
上亿广场店杭州,浙江省杭州市临平区崇贤街道亿荟城7号楼1层1029C,30.38,120.16,15858151800,杭州市,浙江省,体验中心,零跑
临平银泰店杭州,银泰城1楼,30.405254,120.303085,18069795383,杭州市,浙江省,体验中心,零跑
临安宝龙广场店杭州,农林大路899号宝龙广场18-20号楼第L1层M1-L1-016/017商铺,30.249965,119.725291,13634198604,杭州市,浙江省,体验中心,零跑
萧山银泰店杭州,新塘街道通惠南路667号银泰百货商业综合体F1层101M-1号,30.144545,120.286619,18906711251,杭州市,浙江省,体验中心,零跑
七堡花园城店杭州,九和路583号七堡花园城1层第L114商铺,30.300658,120.243567,15858221408,杭州市,浙江省,体验中心,零跑
滨江宝龙城店杭州,滨盛路3867号的宝龙广场宝龙城一楼M1-L1-034商铺,30.187941,120.167761,17799869702,杭州市,浙江省,体验中心,零跑
