name,site,lat,lng,areaShopTell,areaShopCity,areaShopCityCode,areaShopProvince,areaShopProvinceCode,shopServiceCategory,storeName
芯图大厦展示中心杭州,物联网街451号芯图大厦,30.209219,120.223901,18100186684,杭州市,330100,浙江省,330000,"2,1,3",体验中心
萧山奥体印象城店杭州,盈丰街道飞虹路1408号奥体印象城负1楼B1-10号,30.223058,120.25318,18106563870,杭州市,330100,浙江省,330000,"1,2",体验中心
萧山宝龙店杭州,建设一路与金鸡路交叉口萧山宝龙广场L1-132~135,30.195704,120.25325,18100185423,杭州市,330100,浙江省,330000,"1,2",体验中心
钱江店杭州,高德置地中心3幢101室一层102商铺,30.243276,120.20922,19560155083,杭州市,330100,浙江省,330000,"1,2",体验中心
金一路店杭州,金一路111号,30.208954,120.259007,,杭州市,330100,浙江省,330000,"4,5",服务中心
丁桥天街店杭州,丁桥天街商场A-1F-43号,30.350712,120.215812,17799866208,杭州市,330100,浙江省,330000,"1,2",体验中心
永旺梦乐城店杭州,良渚街道古墩路 1888 号，永旺梦乐城商场内一楼零跑汽车,30.360507895783105,120.05920583045813,13505816433,杭州市,330100,浙江省,330000,"1,2",体验中心
余杭江南时代店杭州,余杭街道江南时代购物中心1F-017、017-1,30.26,119.95,0571-88520112,杭州市,330100,浙江省,330000,"2,1",体验中心
西溪银泰店杭州,杭州市西湖区双龙街西溪银泰城一楼01035铺号零跑汽车,30.29,120.08,18100170192,杭州市,330100,浙江省,330000,"2,1",体验中心
西溪印象城店杭州,西溪印象城二期一层,30.246752,120.04765,13588302103,杭州市,330100,浙江省,330000,"1,2",体验中心
远洋乐堤港店杭州,大关路58号远洋乐堤港A162-1,30.305481,120.143221,15858207378,杭州市,330100,浙江省,330000,"1,2",体验中心
金地广场店杭州,良渚街道古墩路1333号杭州金地广场F1楼F135号商铺,30.339154,120.083034,18757590676,杭州市,330100,浙江省,330000,"1,2",体验中心
富阳银泰店杭州,春秋北路 271 号玉长城商业广场步行街编号为 [W1011 ]的铺位,30.060489,119.941349,18329182100,杭州市,330100,浙江省,330000,"1,2",体验中心
新天地购物中心店杭州,长浜路718号新天地购物中心一楼1039A,30.322552854721387,120.18052386983871,0571-85107232,杭州市,330100,浙江省,330000,"1,2",体验中心
上亿广场店杭州,浙江省杭州市临平区崇贤街道亿荟城7号楼1层1029C,30.38,120.16,15858151800,杭州市,330100,浙江省,330000,"1,2",体验中心
临平银泰店杭州,银泰城1楼,30.405254,120.303085,18069795383,杭州市,330100,浙江省,330000,"1,2",体验中心
临安宝龙广场店杭州,农林大路899号宝龙广场18-20号楼第L1层M1-L1-016/017商铺,30.249965,119.725291,13634198604,杭州市,330100,浙江省,330000,"1,2",体验中心
萧山银泰店杭州,新塘街道通惠南路667号银泰百货商业综合体F1层101M-1号,30.144545,120.286619,18906711251,杭州市,330100,浙江省,330000,"1,2",体验中心
七堡花园城店杭州,九和路583号七堡花园城1层第L114商铺,30.300658,120.243567,15858221408,杭州市,330100,浙江省,330000,"1,2",体验中心
滨江宝龙城店杭州,滨盛路3867号的宝龙广场宝龙城一楼M1-L1-034商铺,30.187941,120.167761,17799869702,杭州市,330100,浙江省,330000,"1,2",体验中心
桐庐银泰店杭州,城南街道环城南路555号,29.796356061641333,119.71377470571949,18957529998,杭州市,330100,浙江省,330000,"1,2",体验中心
黄龙万科店杭州,学院路77号黄龙国际中心AB楼110-1，1101-2室,30.275405,120.127984,15068192270,杭州市,330100,浙江省,330000,"1,2",体验中心
余杭宝龙广场店杭州,仓前街道余杭塘路2853号，L1-026-2,30.28,119.99,15068735153,杭州市,330100,浙江省,330000,"1,2",体验中心
之江银泰店杭州,珊瑚沙路49号之江银泰2号门旁,30.167186,120.101938,15868100968,杭州市,330100,浙江省,330000,"1,2",体验中心
大江东宝龙广场店杭州,钱塘新区江东大道2333号宝龙广场,30.303314,120.494644,15906696205,杭州市,330100,浙江省,330000,"1,2",体验中心
复兴南街店杭州,复兴南街311号,30.206532,120.161464,,杭州市,330100,浙江省,330000,"4,5",服务中心
吉利路店杭州,蜀山街道吉利路8号,30.110559,120.256047,,杭州市,330100,浙江省,330000,"4,5",服务中心
石祥路店杭州,石祥路59-3号,30.328308,120.188717,,杭州市,330100,浙江省,330000,"4,5",服务中心
西溪路店杭州,西溪路938号,30.25072,120.07313,,杭州市,330100,浙江省,330000,"4,5",服务中心
金昌路店杭州,良渚街道金昌路2008号,30.346946,120.125717,,杭州市,330100,浙江省,330000,"4,5",服务中心
藕花洲大街店杭州,星桥街道藕花洲大街西段153号 ,30.402225,120.272933,,杭州市,330100,浙江省,330000,"5,4",服务中心
金桥北路店杭州,银湖街道金桥北路961号,30.089993,119.930699,,杭州市,330100,浙江省,330000,"5,4",服务中心
龙潭汽车城店成都,成致路1号附12号,30.682597,104.165652,028-85858780,成都市,510100,四川省,510000,"1,2,3",零跑中心
武侯吾悦广场店成都,武侯大道顺江段77号1栋1层38号1001,30.625972,103.98931,028-86050552,成都市,510100,四川省,510000,"1,2",体验中心
凯德天府店成都,武侯区天仁路388号1层07号,30.603746,104.069062,028-85181896,成都市,510100,四川省,510000,"1,2",体验中心
世茂广场店成都,金枫路833号L1层32号,30.582137,104.189569,028-83283620,成都市,510100,四川省,510000,"1,2",体验中心
海滨城店成都,蛟龙港双流园区海滨城一层A170-6号,30.603103,103.909619,13558660114,成都市,510100,四川省,510000,"1,2",体验中心
王府井店成都,四川省成都市成华区二环路北四段33号附121号J5-1F-P001A,30.688511,104.098931,028-85690808,成都市,510100,四川省,510000,"1,2",体验中心
龙湖北城天街店成都,五块石路1号27栋北城天街A馆-1F-024B,30.709961,104.065541,18628187570,成都市,510100,四川省,510000,"1,2",体验中心
保利广场店成都,高新区益州大道中段699号1层1022号,30.554452,104.060845,028-86617388,成都市,510100,四川省,510000,"1,2",零跑中心
文华广场店成都,汇泉南路499号2113号文华广场—零跑汽车,30.636276173346896,104.10755613415115,028-85670889,成都市,510100,四川省,510000,"1,2",体验中心
成都零跑中心双流店成都,成都双流西航港大道中二段222号,30.598049,103.956208,028-65678888,成都市,510100,四川省,510000,"1,4,5,2",零跑中心
天府环宇坊店成都,成都市双流区祥鹤三街398号,30.477623,104.036844,18200193332,成都市,510100,四川省,510000,"1,2",体验中心
华熙528店成都,四川省成都市锦江区雨树巷27号附1126号,30.593342,104.147602,19940853816,成都市,510100,四川省,510000,"1,2",体验中心
远大购物中心店成都,高新区远大购物中心A馆 L1 层A-L105商铺,30.530621608469648,104.07108306884767,028-85178111,成都市,510100,四川省,510000,"1,2",体验中心
摩里中心店成都,二环路蓝润摩里中心1F01,30.667845,104.022419,18180451991,成都市,510100,四川省,510000,"1,2",体验中心
龙湖时代天街店成都,成都市龙湖时代天街1层06号,30.751623,103.922363,028-87880200,成都市,510100,四川省,510000,"1,2",体验中心
龙潭汽车城店成都,成致路1号附12号,30.68385,104.165233,,成都市,510100,四川省,510000,"4,5",服务中心
