id,short_name,buy_car_type,lng,lat,address,tel,jsd_type,join_shop_code,join_shop_name,province,province_code,city,city_code
15364,比亚迪汽车王朝网(北京鑫敏恒汉青4S店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.0188650,39.7082210,北京市房山区顾八路一区2号院3号楼1层101-1,010-69312001,1,BYDBJ062J,北京鑫敏恒汉青汽车销售有限公司,北京,110000,北京,110100
16438,比亚迪汽车王朝网（北京润城4S店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.1069930,39.7204600,北京市房山区阎村镇炒米店村一街甲一号,010-89317680,1,BYDBJ038J,北京润城汽车维修有限公司,北京,110000,北京,110100
16623,比亚迪汽车海洋网（北京润捷4S店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.1267540,39.7179520,北京市房山区良乡凯旋大街建设路18号-C2090,010-69386422,1,BYDEBJ003J,北京润捷汽车服务有限公司,北京,110000,北京,110100
15760,比亚迪汽车海洋网（大兴凯德MALL鑫敏恒鑫华商超店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.3189490,39.6723240,北京市大兴区华佗路2号凯德商场L1-03,,1,BYDEBJ003SC,北京鑫敏恒鑫华汽车销售有限公司,北京,110000,北京,110100
14644,比亚迪汽车海洋网（北京润迪澎湃4S店）,,116.170493,39.772888,北京市房山区昊天北大街9号院5号楼1层105室,010-69368081,1,BYDEBJ011J,北京润迪澎湃新能源汽车贸易有限公司,北京,110000,北京,110100
14790,比亚迪汽车王朝网（润迪澎盛房山万科商超店）,,116.21105,39.7532,北京市房山区广阳新路9号院1号楼1层102-L1007,17601620953,1,BYDBJ001SC,北京润迪澎盛汽车服务有限公司,北京,110000,北京,110100
17342,比亚迪汽车海洋网（北京鑫敏恒金朝4S店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.4215540,39.7342710,北京市大兴区西红门镇经济技术产业区中鼎路26号1幢-01,010-69286242,1,BYDEBJ007J,北京鑫敏恒金朝汽车销售有限公司,北京,110000,北京,110100
16437,比亚迪汽车王朝网（北京鑫敏恒4S店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.421104,39.735480,北京市大兴区西红门镇经济技术产业区中鼎路26号1幢1层,010-60291959,1,BYDBJ001J,北京鑫敏恒汽车销售有限公司,北京,110000,北京,110100
18205,比亚迪汽车王朝网（福铃祥瑞石景山六工汇商超店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.156230,39.915676,"北京市石景山区五一剧场南路2号院1号楼1层108,127",010-88293156,1,BYDBJ009SC,北京福铃祥瑞新能源汽车销售有限公司,北京,110000,北京,110100
17224,比亚迪汽车王朝网（北京鑫鹏天奥4S店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.228816,39.881893,北京市丰台区张仪村路23号院内甲8号,010-88702050,1,BYDBJ055J,北京鑫鹏天奥汽车销售服务有限公司,北京,110000,北京,110100
17430,比亚迪汽车海洋网（北京福铃兴迪4S店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.3241040,39.8316960,北京市丰台区南四环西路73号花乡汽车园东区东厅9号,010-63720680/010-63720681,1,BYDEBJ009J,北京福铃兴迪汽车销售有限公司,北京,110000,北京,110100
16439,比亚迪汽车王朝网（北京福铃丰瑞4S店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.350910,39.829212,北京市丰台区南四环中路260号新岁地汽车交易城内6号展厅,010-83704725/010-83704730,1,BYDBJ015J,北京福铃丰瑞汽车销售有限公司,北京,110000,北京,110100
15101,比亚迪汽车海洋网（丰台米兰生活广场润迪澎达商超店）,,116.31216,39.87954,北京市丰台区西三环南路10号米兰生活广场壹层B111号,15510119101,1,BYDEBJ002SC,北京润迪澎达汽车销售有限公司,北京,110000,北京,110100
15761,比亚迪汽车海洋网（大兴亦庄西岸建材市场鑫敏恒鑫晨城市展厅）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.4508380,39.7919720,北京市大兴区旧宫镇南环路甲37号亦庄西岸建材市场一层北侧B01,87968066,1,BYDEBJ001CZ,北京鑫敏恒鑫晨汽车销售有限公司,北京,110000,北京,110100
17864,比亚迪汽车王朝网（欣太宏迪丰台凯德MALL商超店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.3738630,39.8609320,北京市丰台区南三环西路16号1号楼,010-67570080,1,BYDBJ005SC,北京欣太宏迪新能源汽车销售服务有限公司,北京,110000,北京,110100
18166,比亚迪汽车王朝网（欣太亚迪大兴世界之花广场商超店）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.428494,39.824865,北京市北京经济技术开发区（大兴）德贤路59号院1号楼1层1-F1106,,1,BYDBJ008SC,北京欣太亚迪新能源汽车销售服务有限公司,北京,110000,北京,110100
18078,比亚迪汽车海洋网（北京骏迪4S店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.2384980,39.9528750,北京市海淀区巨山路99号-4,010-88501416,1,BYDEBJ015J,北京骏迪汽车销售服务有限公司,北京,110000,北京,110100
17324,比亚迪汽车王朝网（环耀盛合南四环东路城市展厅）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.434927,39.833105,北京市朝阳区南四环东路89号,010-87666582,1,BYDBJ059J,北京环耀盛合新能源汽车销售有限公司,北京,110000,北京,110100
14826,比亚迪汽车王朝网（福铃恒瑞海淀翠微大厦商超店）,,116.344681,39.915325,北京市海淀区复兴路33号一层局部A-F1-013、A-F1-015号商铺,,1,BYDBJ002SC,北京福铃恒瑞新能源汽车销售有限公司,北京,110000,北京,110100
18528,比亚迪汽车王朝网（乾元新景亦庄车城城市展厅）,汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.504224,39.809162,北京市经济技术开发区文化园东路6号3号楼,,1,BYDBJ007CZ,北京乾元新景汽车销售有限公司,北京,110000,北京,110100
16657,比亚迪汽车海洋网（北京环耀盛元4S店）,e2/宋PLUS DM-i/宋PLUS EV/海豚/驱逐舰05/海豹/护卫舰07/海鸥/宋PLUS DM-i 冠军版/宋PLUS EV 冠军版,116.473343,39.840936,北京市朝阳区十八里店乡吕家营村甲3号,010-88434335,1,BYDEBJ005J,北京环耀盛元新能源汽车销售有限公司,北京,110000,北京,110100
15147,比亚迪汽车王朝网（易能环耀银海大厦城市展厅),汉EV冠军版/汉EV/汉EV 创世版/汉EV 千山翠限量版/汉DM-i/汉DM-P/汉DM-i冠军版/汉DM-p战神版/唐DM-p/唐DM-i/唐DM-i冠军版/2022款唐EV/宋Pro DM-i 冠军版/元PLUS/2023款元Pro/2022款 宋MAX DM-i/秦PLUS DM-i 2023冠军版/秦PLUS EV 2023冠军版,116.323282,39.963456,北京市海淀区中关村南大街甲10号银海大厦1层南108,,1,BYDBJ001CZ,北京易能环耀新能源汽车销售有限公司,北京,110000,北京,110100
