location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
cnsc8012,"['supercharger', 'standard charger']",广东省广州市天河区广园东路博汇街6号中森食博汇地下一层停车场,23.1472190000,113.3826710000,广州,广州智汇Park超级充电站（新国标）,广东,asia_pacific,400 910 0707,1520,中国大陆
cnsc8016,"['supercharger', 'standard charger']",广东省深圳市南山区滨海大道3001号深圳湾体育中心,22.5255210000,113.9563920000,深圳,深圳湾体育中心超级充电站（新国标）,广东,asia_pacific,400 910 0707,1584,中国大陆
cnsc8017,"['supercharger', 'standard charger']",广东省珠海市香洲区港湾大道科技一路3号远光软件园,22.3794120000,113.5678590000,珠海,远光软件园超级充电站（新国标）,广东,asia_pacific,400 910 0707,1623,中国大陆
cnsc8018,"['supercharger', 'standard charger']",河北省沧州市迎宾大道18号沧州金狮国际酒店,38.3104920000,116.8197530000,沧州,金狮国际酒店超级充电站（V2+V3 | 新国标）,河北,asia_pacific,400 910 0707,1486,中国大陆
cnsc8020,"['supercharger', 'standard charger']",河北省邯郸市经济开发区邯临路与和谐大街交叉口西北角（时代物流城A馆）,36.6618470000,114.5709570000,邯郸,邯郸时代广场超级充电站（新国标）,河北,asia_pacific,400 910 0707,1523,中国大陆
cnsc8021,"['supercharger', 'standard charger']",河南省郑州市管城回族区谭南街中鑫之宝院内地面停车场（入口：谭南街）,34.7513550000,113.8044160000,郑州,中鑫之宝莆田店超级充电站（新国标）,河南,asia_pacific,400 910 0707,1619,中国大陆
cnsc8023,"['supercharger', 'standard charger']",湖南省长沙市开福区青竹湖大道699号太阳星城,28.3536690000,112.9861190000,长沙,长沙太阳星城超级充电站,湖南,asia_pacific,400 910 0707,1489,中国大陆
cnsc8024,"['supercharger', 'standard charger']",湖南省长沙市天心区湘府路198号豪布斯卡酒店,28.1184710000,113.0023710000,长沙,长沙市豪布斯卡酒店超级充电站（新国标）,湖南,asia_pacific,400 910 0707,1490,中国大陆
cnsc8029,"['supercharger', 'standard charger']",江苏省南京市雨花台区软件大道119号丰盛商汇,31.9815740000,118.7673220000,南京,丰盛商汇超级充电站（新国标）,江苏,asia_pacific,400 910 0707,1551,中国大陆
cnsc8031,"['supercharger', 'standard charger']",江苏省无锡市太湖东大道68号无锡世贸中心,31.5599520000,120.3156980000,无锡,无锡世贸中心超级充电站（新国标）,江苏,asia_pacific,400 910 0707,1604,中国大陆
