姓名,评论内容
火鸡Mr.Lin,上调多少先不说，能不能先把工资发了[龇牙]
鹅嚼锅海峰,好像从来没有听说你给总监发工资啊[奸笑][奸笑]
⋆᭄͡ꦿ໌້俗ꦿꦿ໌,超老板！一天会豁人的很[笑哭]！
改战区,摄影师在旁边是怎么憋得住的？[笑哭][笑哭]
云贵🍓川鲜鲜🍑吖,你的网名不应该叫大山里的超超，应该叫大山里的超扣扣[捂脸]
05的平💗,70块钱把它收买了[捂脸][捂脸]
八十万禁军教头.,还是超老板好耍[龇牙]
ai 桃  子,超起抠脚了
台州电摩改装配件,画饼还要看超超[笑哭]
九玖む,股东都看不下去了[捂脸][鼓掌]
小李有止渴糖江,请问总监，这水果味的饼好吃吗[捂脸]
罗二娃👿👿👿👿,摄影师在这里[捂脸]
Lisa是个小胖纸,1549，去掉油费了才1370，那两个人平均分一个人700不到，每人每天平均才350啊[笑哭][笑哭][笑哭]
跑车小弟,下一车又是1370，二把手又分70，然后每天都是70[捂脸][捂脸][捂脸]
情感分析大师😍,老板的饼越画越大了[笑哭]
aa瀚🍔,@只想娶张静
春凤xfy,是在画大饼吗
军…,@戒完🚬就改名 卖哥哥啊
黑中介,[亲亲][亲亲][亲亲]
就叫阿俊好了＠,又画大饼了[奸笑]
comsog,我要来当副总监
大叔、进,[666][666][666]
秋香92601,[笑哭]
。。|：一,他1300.他70猜到了
-国民女友.🤡,心肌梗塞都出来了[捂脸]
橘生淮南,现实
我们还续集་,@小说完结了་ 哈哈哈
i是相互的基本,超忽悠
有你真好,当老板的都会画饼[捂脸]
yanyan8558,两天70[666][666][666]
牵手→_→牵不到,还没算吃饭[奸笑]
你是我心口那道难愈合的伤,画大饼第一名[捂脸][捂脸][捂脸][捂脸][捂脸]
情感分析大师😍,我想要加入你们公司，我个人觉得我们公司马上就要上市了
情感分析大师😍,老板的饼越画越大了[笑哭]
真是美丽冻人,就一个员工 还大家[捂脸]
༺ཌༀൢ沉༒默ༀད༻,心肌梗塞[笑哭][笑哭]
阿慧℡¹³⁶⁶⁷³⁹⁷⁷³⁸,天天给总监画大饼
✎ℳ亦.辰,一个叫大，一个叫家[笑哭]
万物不及xyan,如果我没猜错的话你们这个大公司就三个人吧[笑哭][笑哭]
＠疯狂小杨迷,跟着超哥混 三天饿九顿。
Y、小颜,@-爱意寄秋.
海市[]蜃楼,画大饼给你吃[赞]
౪💕烧包谷💕౪,最后心肌梗塞[捂脸]
孤♥我♛为$王,@九狸狸
—特  别  楠‘,我为总监发言：我对超哥忠心耿耿  超哥对我又豁又整
扎一个了,3000一个月
无，，，语,[笑哭][笑哭]
小童☞爱剪辑,画大饼
农村疯狂小飞哥（909）,上调多少先不说，能不能先把工资发了[龇牙][捂脸][捂脸]
清风74996,超扣扣
阿杨有好剧,总监好可爱
欣儿,总监又被套路了[笑哭]
莫负{韶华%J,总监三天挣70块钱
别看要脸,[玫瑰][玫瑰]
彤苒婷,[捂脸][捂脸][捂脸]
晓燕,就一个员工？一个摄影师[捂脸]
大萌的日常。,厉害了
蓝魅🍎🤗🤗,心肌梗塞😂😂
现任1米78超可爱,两个人的公司
甜甜＠的恋爱,两天两天算下来三个好像也不多哈
孤岛飞鹰7273,牛逼吹得好。
嚄唛尬,勺子
归所🐟,300.70
小桃，。,三七分的意思就是每次总监都是分70[捂脸]
东君．,三七分，我一千三你七十[捂脸][捂脸][捂脸][调皮]
烟到最后只是灰,从没超一百[笑哭][笑哭]那七十可能都要给扣出来
一如既往73388,字写的不错
Lisa是个小胖纸,1549，去掉油费了才1370，那两个人平均分一个人700不到，每人每天平均才350啊[笑哭][笑哭][笑哭]
三姐弟成长生活,又上当了
殤ω為了誰ぇへべ,一天35[笑哭]
内衣借的小王子,1119是不是你九我一
莉莉jiejie,本以为从超扣扣变成超大方了哦！结果还是套路[捂脸][捂脸][捂脸][捂脸]
紫气东来,摄影师，真能忍啊。忍住笑
云南第一独秀,这饼画的关键人也爱吃[捂脸]
阿尔法g🎖️,好一个心肌梗塞  这是重点圈起来要考
健身私教彝,老板心肌梗塞[笑哭]
抚呦°,老三的四个圈都被你败完了？
时光依旧,[666]
天大地大,天天画饼[赞]
元气少年,[捂脸]
小过3600,看见超老板画饼、我原谅我老板了[笑哭]
被遗忘的那一抹阳光💦,超老板的画画技术太好了，这个大饼画的不错[捂脸]
冰刃破,哈哈
blurred048,[赞][赞]
花开堪折直须折280,小品演员[龇牙][龇牙][龇牙]
|一个攀枝花的的哥。,老三就是灵魂
仰望星空,[赞]
朋友69473,嫌不着钱，分红不跎[捂脸][捂脸]
顾✔💓,就要给959。[捂脸][捂脸][流鼻血]
川妹妹,[捂脸][捂脸]
十彡少『媳婦』,一本正经胡说八道[笑哭][笑哭][笑哭]
叮叮铛铛上班了,总监的文化刚刚滴
卟忘初心、方得始終,超扣扣[赞][赞][赞][火]
小白兔 乖乖🐰,这个饼画的更大[笑哭]
এ᭄缘ꦿ꯭꧔ꦿ,[捂脸]
＠孤独马,[龇牙][龇牙][龇牙]
婷婷老婆💕,@周周老公💕
来日方长26994,牛逼克拉斯
美立方股东-阿豪,这种气势像一千三百七十万[笑哭]
熄火 ，,你两弟兄恼火哦
ζั͡ޓއއއ维她命〝,哈哈
遗憾才是必殺技,[笑哭][笑哭][笑哭]
情枭$¥,这个二打手是个啥的吧？一车水果卖这么多，就分了70，他还这么开心[笑哭]
Fi. i,@33岁纯情小妈-
꧁💞心已💔上锁💞᪲,套路深啊
七十亿分之一难遇其人,这个饼画得好👍🏻
簖线ヤ讽鬇℡,带上我好不好
华城建哥,非常满意
比空白更空白的空白345,做大做强  做进世界五百强
18314079591,[捂脸]
心若^O^菩提,三七分就是你70我1300
ᝰ   长风,[玫瑰]
快手用户1677301246847,超超，你是彝良的吧？[奸笑]
清丶`🍃,[玫瑰]
ㄆ小洋,好大个三七分[笑哭][笑哭]
お愿风裁尘お,这个[疑问]
梦☞♥印记,天天给总监画大饼[捂脸][捂脸][捂脸]
依旧如此*^ω^*,你盈利好多和我们有毛关系
dream90840,[赞]
帆正铃远舷长,老三了
就想淘个龙石,超超要是有私房钱存打死我不信，你们看看摄像是谁？
微爱102237,总监[捂脸][捂脸][捂脸]
云贵🍓川鲜鲜🍑吖,你的网名不应该叫大山里的超超，应该叫大山里的超扣扣[捂脸]
快手用户1669259978710,超抠抠[赞][赞][赞][赞]
ᝰꫛꫀꪝ𐂂晴熙剪辑,哈哈哈哈三七分[捂脸][赞]
跑车小弟,下一车又是1370，二把手又分70，然后每天都是70[捂脸][捂脸][捂脸]
🇨🇳L5201314,三七分不是这样分的[捂脸]
か亞厸か,能不能先把烧烤吃了
韦小志（摆地摊）,做水果生意很难赚到，我是感同深受[赞]
阿艳a~,你倒是发啊[笑哭][笑哭]
天♊酬,往最大的跳
A老墨      666,我出50把超董公司收购了[捂脸]
图－160白天鹅,公司就一个员工，还大家
👻,你是不是烧我cpu
嘛嘛蒋,3个人两天1300[捂脸][捂脸]
王大東呐,@……小小晨🦋 @Sir 阿富😎 @平安喜樂. 萬事勝意！ 你们的公司要好久干起来
为爱尔完成,绝对找不出第2个。
大哥二妹点点滴滴,这个兄弟情一辈子[赞][赞][赞][赞]
蓓~蕾,这饼太大咯[笑哭][笑哭][笑哭]
黄山7743,骗子[捂脸][捂脸][捂脸]
无敌风火轮,三七是这样的[奸笑]
＂﹏業尐妖ゝ,我之前公司一周至少5次会，现在老板破产1年了，最后一个月工资还没发
错5385,1300÷3=433÷2=216
涵涵,又给总监画大饼[笑哭]
美好明天17796,原来三七分是这样的
初心✌,[666][666][666]
张顺19873026197,[666][666][666]
家有小胡梅,[憨笑][憨笑][憨笑]又泡汤了[捂脸]
历史励志馆,一天能挣多少钱
鹿🦌温瞳,资本家看了都要流泪
ク旺旺碎冰冰づ,三个人，一个人2天，算6天
习惯就好627,又到画大饼了
木槿花  AA,心肌梗塞都整出来掉  [笑哭][笑哭]
小橙คิดถึง,959块钱
随***缘100%,这样下来你们三个人分下来也没多少[笑哭][笑哭]
不想说话,[捂脸][捂脸][捂脸][赞][赞][赞][赞]
聆听枫声,[捂脸][捂脸][捂脸]
雅居哥哥,二妹买车，买了没有啊？
归零♣,调不调不说先把之前的工资发了
逍遥游子心,大哥，看您视频，学会一个东西：算糊涂账[笑哭][笑哭][笑哭]
Bin★Guo,这大饼画的[安排][安排]厉害[拜托]
刘顺金  18315011108,一天35块
小红ufxwdrVw,[666][666][666][666][666][666][666][666]
游^O^448,超老板这饼划的太大了[笑哭]
CREEP～~,@PANJING…
沉默12780,这样子三七分红可还行[捂脸][捂脸]
三两旧人,超抠抠这个三七分我觉得可以去和我老板分享！！！
小艳儿记录生活,摄影师是怎么忍住的
清枫柳198,能不能先发工资
开心小伟（519舍得）,老板这三七分真是分得可以，老板真牛掰[赞][赞][赞]
C      nan,就是你哥两个好玩
ฅmortal,@听风看雨走   世界
心若诚则诚,公司就两个人，第二股东不正常？[捂脸]
甩起一皮拖,两个人两天，4个工，除油钱，车子磨损，风险，呃呃……[捂脸]我终于晓得为啥子我那个朋友，以前干水果生意跑滩，现在去搞室内安装去了[捂脸]
H.S591,老三被饿跑了？
浅落,这大饼画的真好[赞][赞][赞]
沉稳,超扣扣
“球  夫”,[捂脸][捂脸][捂脸]
忧景以过,再这样发展下去想不发财的难。
通渭亮仔,画饼老板
🤨,两个人2天，平均工资一天200多一点啊
潮艺353,35一天
嗯，你好,这些大山里的网红都是从城里下去的
💦 彩虹🌈,老板你公司还招人不我现在失业了[捂脸]
李冰&程丹,榴莲有没有
潮艺353,比打工强，至少自由
紫夕787,老板都是这样画饼的[捂脸]
花木兰.,你们公司就两个人啊？
yige人的天空,总监:管他算没算对!  该说不说到底还是发了一回工资了 [抠鼻]
✌只宠你一人＠,1300三个人等于有6个工。一个人216一天。。
k&k:¡,更新太慢了
＠林啊.,字写的好漂亮
岁月蹉跎0083,好好干，明年给你娶个新嫂子
啊小安哟,应该先把摄影师的工资发一发
泸州战神涛,喜欢看[玫瑰]
小周的成长,来看你的时候，你都没开[捂脸][捂脸]
农村疯狂小飞哥（909）,2天分70元[捂脸][捂脸]一天35[捂脸][捂脸][捂脸][捂脸]
一草一木皆为你绽放,"总监应进账413.3333333333333
分红有误，总监自己干算了"
《川南🐲归零》,不是格局小了，是人穷志短了，现在不一样了翻身了
☆收废品的80后☆,一天就豁人家[赞]
落水笨蛋,这个饼画得简述神了
🔅ꪑ꯭,天天开会，倒闭也快
