姓名,评论内容
鹅嚼锅海峰,祝总监发大财，早日找到女朋友[奸笑][奸笑]
有温度的冰块,没有我抢不到的前排
A一口,今天我生日能说一句生日快乐吗？
👉平安🍎是福👈aa,我估计等一下会跟总监分30块[憨笑]
兰因絮结,最多两天半 统统清仓特价促销[捂脸]
Y同学,我们这边一毛两毛都要收，真的格局打开啊
丹=⺆+亠,前排
今生我来爱你💑,总监觉得两天70可以了[捂脸]
少羽,十天
仙人掌wyy,[赞]
你叫我作爸爸我教你练功夫,你这样卖  就没得水果鸡吃了哦
小鱼儿＠猫,本钱还没回来，都快卖完了
鸿盛农业有限公司亮亮,10天[抠鼻]
岁月^o^纠缠着往日的不朽,能卖5400
午休到半夜,我们这儿都不准摆摊
我爸,十天20天才能卖完
User_285225803,火龙果红心我买十块[大哭]
父母健康长寿,生日快乐
＠叫我刘阿姨,小台芒昨天在超市看了一下16.8一公斤
随、风、而、去……,[空投]
只为你6440,怎么没有榴莲了
小鲁,@甲方 报驾校干这个去[捂脸]
改变,[赞][赞][赞]
User_1586523177276,都知果12元一斤，很好吃，今年水果有点贵
香水百合59632,兄弟离你和总监太远了不然可以来买你家的果果哦
时间不等人9332,厉害👍[赞][赞]
面包会有的,总监年底要分倒红利啦[欢迎][欢迎][欢迎][欢迎][赞]
木子忠義,超哥发个VV过来，带带我
！！！？？？863,[赞]
嫣小猪💓,都知果好吃，一年四季都好吃。
xiaoshuang417,卖完，总监可以分到两块不
宅叔o,两千
采徐坤▓,我看见你了，[哼]
＠社会摇,在彝良好卖得很
＆＆＆329,我估计要卖一年了[赞][赞][赞]
里总·,[爱心][爱心][爱心]
男人✔🚬🍃,我在彝良，就没有遇见你们两个[捂脸]
Mrss小如意🌈,泰国小菠萝削了皮还能放几天的吗？求科普[笑哭]
期待,彝良啊
阳光城,4430元，那就4 4 3分，摄影师4000.超扣扣400，总监30[龇牙]
中國聯通დ,@懒得热情 @小穆   不羡慕 @~~菜瓜~~* @꧁♡꧂⊙ @¹怏 @Freely @ʰᵉˡˡᵒ𝙠𝙞𝙩. @芳笙归来
悦悦旭旭宝贝,[赞][赞][赞]
口口是爱,这就能拿到5块钱
暖阳780,[奸笑]
夜空中最闪亮的“凡”星,我们也是零头都不要的呀，你要他也不想给[笑哭][笑哭]
风吹过岛屿-.,老三呢？
有心真是累！无心无所谓,战绩越来越好喔[赞]
T,可不可以快递
洛·月汐,两位帅哥你们晚上在哪个县城里卖水果[赞][赞][赞]
清枫柳198,越来越厉害了
『帝★豪』,希望你每天要去哪个位置卖，收摊的说哈，有的还会故意去买
︶￣谁动了流年乱了浮生472,就这点水果怕是成本要不到5000千多吧？
桃子汽水🍑,[爱你][爱你][爱你]
六月天230,我想知道总监能拿多少工资
活死人34,后面小心心双数赚钱，单数挣钱
星空灯工厂店,[赞][赞]
User_1572697049706,咋个超市里的小菠萝9.9两个，好像你的那个一袋是9个哈？
渡劫下凡的小仙女,就喜欢看你们搞钱的样子[奸笑]
破茧的蝶819,[赞][赞][赞][赞][赞][赞]
蒲公英42453,为啥那么多人逛街，我们这除非是早上在菜市场那那么多人
爱住身边每一个人,[龇牙][龇牙][龇牙]
阿――🐑¿,其实人家这是为了节目效果总监才这样的
X苏总,[赞]
X苏总,[赞]
￥小梁很卑微！☹️,@🐯奔宝宝💐
草长莺飞  渟膏湛碧,确实卖的便宜
~娜297,关于抢到了前排不知道说什么[捂脸]
執&唸＠薆,不愧是东方清仓和西方甩卖[赞]
神的童年,10天
★╭🎸唯一,[加油]
潮起潮落3502,明天接着进货。
天生桥水果，干货调料1990,小波萝我才卖二十五，都难卖
pengpeng135,[赞]
少羽,十天
心心相印84708,你们那里的水果怎么那么便宜呢？
紫薇花0509,城管来了[奸笑]
安安呀呀呀呀呀呀,又想骗我去卖水果[捂脸]
ঞ浮生 ໌້ᮨ꧔ꦿ᭄ঞ,我也想来买你家的水果，但是隔的有点远[笑哭][笑哭]
无敌,5天
ぷ张万森,我是你的粉丝
思念、为了谁,十天半个月吧，别太久了
褚雨1985,[赞][赞][赞][赞]
白西子❤,再不给总监升工资，总监要被人挖走咯[天啊][天啊][天啊]
%B&O/y,[赞][赞][赞]
无忧,会被城管赶嘛
多年以后💪 💪 🙏 ?,6500
那里有人在玩火,看上总监了
yanyan8558,笑哈哈哈[666][666]
Lily,赶紧卖完给总监分红[憨笑]
瑶源爸,不要短斤少两呵
他不懂,我刚刚看到你了
他不懂,你们是不是在彝良？
雪兮☘,我也看到真人了[笑哭][笑哭][笑哭]
147亮哥,能不能卖了时候开直播…支持了顶起[666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666][666]
脑袋困掉哇,公厕 门口 [笑哭]
꧔ꦿ安℘᭄ᩚ忆꧔ꦿ,每次我下来都没有遇到你们
秦.语～🍡,给我分4吧
车神5973,跟你学
👧记得笑 .,总监快出来我们打螺丝[捂脸]
桂容441,有人挖总监了[赞]
＠穿渡♥星河,你们那水果好便宜，我好想来，[捂脸]
秦.语～🍡,超老板的10个亿国目排，马上就要完成了[捂脸][捂脸][捂脸]
君临天下ajk,我问你是不是来彝良了，你都不回哈粉丝的吗，取关
ℳঞ雷ꦿ ໌້ᮨ꧔ꦿ᭄,起码买到烂[捂脸]
曾经8468,我们这边基本上都是零头几毛的都让你加一个，加不加去都有零头[捂脸]
帅^0^哥*´艸`*,[赞]
癫了没好00631,看你们俩兄弟卖水果好开心[龇牙]
清思文图,一天就卖4430，有点东西！
零撸加米哟,下次我要飞云南去买超扣扣的水果[捂脸][捂脸]
玥爱书语,轻点摔嘛
冷风,买卖完过年
高兴就好20258,[赞]
新新,利润基本上在4500左右
Em0ji❣️,好可以寄过来[笑哭]
ク旺旺碎冰冰づ,位置不错
无上限宠你854,超哥我一直很好奇，你们县城没有城管吗？ @大山里的超超
若曦＠惜缘,我们这里小台芒10块钱一斤[捂脸]
土土木木,[赞][赞][赞]
冬葵子,可以邮寄不
春暖花开54026,我天天都看你们卖水果呀，要是我离你们近的话，我一定天天都来买，太喜欢你你们卖水果了
I am fine°,你要学会四舍五入[偷笑]  11块8应该收12
＠疯狂小杨迷,跟着超哥混，三天饿九顿
青春回忆录,我还是觉得总监工资低了点
yu玉430,看得我都想去买水果了[捂脸][捂脸]
老任-正和恒源装饰公司,总监至少能拿到15
柠萌波波℉,人去哪了[旋转]
复古纪梵希,这边消费有那么高吗
ᝰꫛꫀꪝ𐂂晴熙剪辑,我[捂脸]这个人有强迫症 我的赞必须单数
ᝰꫛꫀꪝ𐂂晴熙剪辑,刚刚
WAP132,五千多？
（*^ω^*）清风,都知果特好吃，我吃过
军👑哥哥520,网红卖东西就是好卖点[捂脸]
萬 先 森,[爱心][爱心][爱心]
爱你的男孩140,我这里好多在冷库上班  货很多
xg徐戈yj,4天
