姓名,评论内容
那片海,给总监安排个媳妇嘛
听雨,我支持总监，没有总监的出演，这段子真没意思
丿大山灬表,交警都来了[笑哭][笑哭][笑哭]交通堵塞了[奸笑][奸笑][奸笑]
活死人34,单数赔本，双数不挣钱
快手用户1672664466146,温馨提示:用刀的时候注意傍边的人，勿喷
（J a y.）,超哥的确凶，交警来了还请别个吃芒果[捂脸]
👉也曾温柔过❤,超哥，你应该改名：又是成功给总监画大饼的一天！
👉平安🍎是福👈aa,总监！我感觉超哥又在给你画大饼了[憨笑]
花花就是我哇,码多搞两个呗！毕竟是大公司
努力的80后,安排起
爱皆失,上镜头了
兰因絮结,感觉后面好像拖一样在哪站着[笑哭]
欣怡,给我安排男朋友
尘埃落定95959,我坐等总监有没有吃烧烤[捂脸][捂脸]
王☜百里守约,总监是你们的灵魂啊！
罗二娃👿👿👿👿,摄像师在这里[捂脸]
闻香品茗7542,总监和烧烤渐行渐远了！离小目标得用光年作为单位量距了！[捂脸][捂脸][捂脸]
什么啦昂,又在给总监画圈圈[捂脸][捂脸]
黑糖玛奇朵131,超老板是对总监扣，对顾客是没得说的大气
🌺 ☁云朵☁ 🌺,城管的来了
不断努力的男人,安排
拾捌.,交警都来了[捂脸]
沠亣曐,@好困好想睡觉
隐者蛇🐟,我们这里青枣15一斤[捂脸]
＠从ঞ💞 ໌້,我来报到[安排]
𝟳死我了💤,@劫难与你..⚜️
_陈欣然呐%:-）,都买在彝良来了[红脸蛋]
小白,这个是镇雄的话人肯定多
♤曲终人也散,天地良心[捂脸]
吴忠＠水果小张,人家这城市好，还能让摆摊[捂脸]
殆死悲爱＠2,[惊讶]
啊浩,天天画大饼
劳资蜀道山,31块9都只才收31[赞][赞]
澳利给AAAA,格局打开
sunny🍀,烧烤吃了没
舒不启,不知道在多弄几个码
冬天的向日葵670,老三呢
休杯灯早上不起床,资本家
法师  [ y 族  ],老板又开始给总监画饼[捂脸]
武冬,怎么又不更新了
赵百万♛,@ღ᭄ꦿ赵先森꧔ꦿ້໌ᮨ࿐
四川pvc地板草坪悬浮,真的是大老板9角都不收呵呵，利润还是高。
˵¯͒荔枝¯͒˵,@-Aaa鹤
奥特曼打丨小怪兽,[赞][赞][赞]
鑫g·,在广场看见你咯买了个火龙果
平淡---幸福,总监笑得最乖[赞]
你好好休息啦,@这快乐的一家人[玫瑰]
剪秋水629,呵呵哈哈哈[笑哭]
儿童套房👑燕子    1586,更新，更新
安迪8943,让老板娘出来看看
奔跑的鸡爪爪,挣大票子了不更新了？
时光温柔.🍓,我买20.1他都全部收的，超抠抠还是可以，18.9，就18
杨小勇776,必须安排总监吃烧烤。[赞][赞][赞]
赵信  、,彝良呢[吃瓜]
钱能解百忧.,为了总监能吃到烧烤。粉丝些也是拼了呀[奸笑]
゛✎﹏趙☆小冰゛゛,[赞]
＠_＠37372,[赞]
＠浩宇进城啦,你们是不是吃烧烤被人打了，怎么不更新了
系统更新462,你没有看见总监一个眼神交警就走了满
呵呵,招演员不[奸笑]
＠南方的姑娘✨🎊,总监终于得吃烧烤了[捂脸]
^0^微＠笑,[赞][赞][赞][赞][赞]
元气雪妹,超哥祝你们水果生意每天都跟今天一样好，这样总监就可以吃好吃的了
清风74996,[赞][666]
🍃多——余🍃,上镜的大哥眼睛睁开的[捂脸][捂脸]
小长,桂圆5元一斤，确实[赞][赞]
挖机小阮 03,@没有李
遍体鳞伤够不够美519,安排了没有
没脱奶,交警都看懵逼了
鹿儿的早安$625,应该多大几个收款码，车上也可以贴些[捂脸][捂脸]
元气少年,[666]
