姓名,评论内容
维尼,这个只有梦里捡过
🇨🇳杨大姐❤️,这几天土鸡蛋价格上去了，绿壳蛋更贵了吧！
座山雕217,你还想要多少鸡蛋啊啊？
魅影³茹娟～986,我们捡鸡蛋都留一个在窝里做眼，让它看见才又去那里下，要不然去别处下蛋找不到。[龇牙]
璀璨323守护,哇塞，我好喜欢捡鸡蛋哦！
邓庆华151,看样子是鸭蛋
惠55860,勤劳致富[赞][赞][赞][赞]
莱克,我家鸭蛋才绿色的[星星眼]这鸡蛋好像鸭蛋这么大个[赞]
心在跳猪在笑,这窝设计没问题喔，有创意
慧慧❤️好物分享,哇，你这个鸡窝都这么漂亮。
刘宏雨,为什么每次看你视频第一句话都是感叹词[奸笑]
曾伟萍246,@[雾霾][坑]
105度,再见2022
User_1562928942690,我怎么想不到这样好办法呢，山上挖几个洞，下雨鸡淋不到，晚上将就洞里面睡，轻松养鸡家里还干净
^悲伤小🐑人,有就不错啦.~
周氏蜂场888,绿色的鸡蛋！
韩静蓉134,乌鸡蛋！
我非完人（麦吉丽）,一看假，这么干净的鸡窝生的蛋上有脏的吗？
爱的家558,[捂脸][捂脸][捂脸]
╰︶冰蓝君界乄昵称,咋卖
真水无香__,@鹅鹅鹅鹅鹅
薰衣草,怎么是绿色的鸡蛋，就像是鸭蛋一样！
夕阳琴韵,收获满满！[赞][赞][赞]
心馨,我怎么看着像鸭蛋
星云,捡蛋的感觉真好
美丽星空899,哇塞，我好喜欢捡鸡蛋哦[赞][赞][赞]
家和平安,颜色怎么是青色？
Capricorn💍531,[奸笑]
金艳子,我今晚又要做梦捡鸡蛋了[捂脸]
（希贤）爱一,确定是鸡蛋
风和日暖,这个鸡窝好[龇牙]
乐家芸姐姐,乌鸡蛋，壳是绿色的
孤独有我13,你养了多少只鸡🐔心里没数吗，还奢望这么高，有的捡就不错了[捂脸]
沐🍀若🍀清🍀辰🍀,你不留引窝蛋吗，我们都是留一个蛋在窝里，鸡不会到处跑着下蛋
老黄,那不是鸭蛋吗，鸡蛋有蓝色的
开门红门业查正春,在直播间看到你这个鸡蛋价格，就在想我送出去这么多蛋，送出去多少钱喽[捂脸]
思语7299,小时候老梦见捡鸡蛋是怎么回事呢？
水之清912,[赞][赞][赞]
13933,至少比没有好，有就不错了，还嫌七嫌八[哦]
紫蜻蜓,绿壳鸡蛋没见过，只见鸭蛋有绿壳的
细雨清风725,祝福你财源广盛，生意兴隆！！！！！！
艳69891,捡鸡旦的心情真好！[玫瑰][玫瑰][玫瑰]
MeiLan666,收获不少
格格,[憨笑][憨笑][憨笑][憨笑]
小蔡幽香,有绿皮蛋的，不是鸭蛋，是鸡蛋
Apple28025,先别说鸡蛋好不好吃，这个下蛋的环境真的不错[666][666][666][赞][赞]
快手用户1676433051558,怎么象鸭蛋
平安是福43838,[赞][赞][赞]
人生如梦,我只要梦见捡鸡蛋，要不了两天，准生病
/点＠）--星,都不留一个
啊秀2937,这个只有梦里捡过
快乐亮☺️不忘初心🌞,一共38个[捂脸]
幸福约定89486,[赞][赞][赞]
一生何求,你确定不是鸭蛋
慧星流雨,每个窝里面放一个乒乓球，不要问我为什么。
宋才英021,太有才了，鸡下蛋的山洞，又干净，又不热[赞]
User_1578481604393,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
颖子,什么动物都是母的受罪
秋风3414,怎么看着像鸭蛋
寒081,感觉好怕哟？万一手在里面摸到那种长虫了怎么办[捂脸][捂脸]
🇨🇳 吴建新,美好的生活[赞][赞][赞]
馅姥姥,美好的生活[赞][赞][赞]
牡丹75278,应该下午四点以后在捡
啊十哥302,[赞][玫瑰][爱心][火][666][龇牙]
-💃🏻ᶻ,我感觉是鸭蛋
小哭包,美女，请问个问题，为啥你们鸡蛋颜色和我们的不一样呢
想回童年,应该是每个窝留下一个吧[奸笑]
ccn,土鸡蛋
何赛,小心里面或许有蛇
梅花54738,这个品种的黑鸡生的绿皮蛋，这种鸡煮汤好吃鲜
转角遇到你,农村的自己多养鸡，鸭，养，猪，后山围栏养殖业，
没  想,没有蛇来吃吗
鑫鑫阿泽,这是什么鸡蛋？是黑色的
旺妞,厉害[赞][赞][赞]
Marry0982,捡了40个鸡蛋也不少了[赞][赞][赞]
User_1586083669491,有这样的鸡蛋
User_1586083669491,我家的鸡下的蛋就是这个颜色和鸭蛋一个样
