姓名,评论内容
谨慎438,你家鸡蛋是绿皮的，奇葩[赞][赞][赞]
海琳,这是鸭蛋吧
王兵1241,一看就是摆拍
云云16157,人工摆的太假了…
明子闲聊,鸡在外面生的蛋没有那么干净
命运恰到好处,鸡蛋会是蓝色的壳吗
竹子,哇这么干净的土鸡蛋，成堆放[捂脸]
昭通小四妹🤗,我经常做这样的梦[捂脸]
快手用户1666278283016,好假
平凡的人,这是小时候梦里的场景[捂脸]
꧁横穿.马路꧂,鸡蛋肯定是鸡蛋，是不是摆拍就不知道了
年糕怀旧滚滚滚,感觉好好玩[奸笑][奸笑]
好郝,这么多鸭蛋[龇牙][龇牙][龇牙]
波芳晨硕,看透不说透
冬天的雪72600,鸡能在石头上下蛋吗？
User_1580124099553,这下发财了
何艳萍616,@你这个鸡蛋保熟吗
永远快乐0742,假的
枫雨之泪,我姑妈家的鸡蛋就是绿壳的
.平凡一生262,土黑鸡下的蛋是绿皮
阿娥,[赞][赞][赞][赞][赞][赞]
永无止境 （老沈）,你家的鸡蛋怎么象鸭蛋[奸笑]
努力奋斗58545,什么象鸭蛋
花儿朵朵6413,在哪里[笑哭]
带刺的玫瑰🌹,摆的鸡蛋
带刺的玫瑰🌹,乌鸡蛋
冯忠秀？？,鸡下的蛋做错了什么？
快手用户1666682790832,[赞][赞][赞][赞]
娟子23045,[微笑]
🎉园梦 🎉,你家鸡昵？没有鸡蛋是？？？？
蕴空（裴）卍,你是哪里的，去买点
丁治兰,[赞]
追爱方便面,我整天梦见满山遍野的捡鸡蛋，今天是真正见到了[赞]
孙雪玲13892304267,[捂脸][捂脸][捂脸]
宏玲062,真好啊[火][火][火][火]
宏玲062,绿壳鸡蛋[赞][赞][赞][赞]
赵晓芬342,[facepalm][facepalm][facepalm]
白云,[赞][赞]
新👏韩👏拌饭,你家缺收鸡蛋的吗   我去[奸笑][奸笑]
甜御🐬,内行人告诉你，鸡生蛋的地方一定有个草窝窝
User_1551522595831,鸡蛋刚下完哪有那么干净啊？
唯一90254,你会不会生呀
唯一90254,自己玩儿吧，孩子
玛瑞亚姐姐,好过瘾啊捡鸡蛋
幸福没有捷径285,这是养了多少鸡[赞]
开心一刻（好）,没看见一只鸡[哼][哼][哼]
