姓名,评论内容
蜀和春,生活平淡，用心就会发光，岁月沉闷，跑起来就会有风，平淡的生活也有多种美。
张先森的小胖妞,讨厌这样说话的人
bu留长发~,剧情变了[捂脸]
玲玲手工日常🌸,胖子其实很心疼人 只是不好表达 希望你们越来越幸福[玫瑰]
🍒 MS  Li,封面字错了吧
船要靠岸,90后都出来吧[捂脸][捂脸][玫瑰][玫瑰][玫瑰]
彤玲兮三宝,胖子就不能好好说话吗？关心人也不喜欢这样的说话语气
阳光~小溪,把刀子嘴豆腐心演绎的淋漓尽致，这种说话方式很伤人，很讨厌这种相处方式
我是杨杨！！！,别觉得自己有多好。老是说话这种语气，听着都不得劲[抠鼻]
꒰ঌ𝟱.,胖子真的很好
記註穎.🦋,喜欢看蜀和春他们视频[玫瑰]
张先森的小胖妞,狗狗好可爱🥰
随意开心快乐,@[赞][赞][赞][玫瑰][玫瑰][玫瑰]
（HY）...,前排
创新CHN,㊗️你小俩口永远幸福[欢迎][欢迎][欢迎]
艳艳❤『乐芳，曹家』,17分钟前
祥兰738,好
果子。083,[666]
天天开心快乐,生活平淡，用心就会发光，岁月沉闷，跑起来就会有风，平淡的生活也有多种美。
烟雨飘渺805,[赞]
小小🌟💓糖果💓💓,[赞]
幸福之路,[赞][赞][赞][赞]
135790088,胖子说话事情也做了，说话不好听，没有方法
快手用户1649645087313,[赞][赞][赞][赞][赞]
刘梅☘️☘️,阿春，好好珍惜了[花谢了][花谢了][花谢了][花谢了][花谢了]
舌尖上的美味382,这口音有点像温州人
外婆,[爱心][赞]
外婆,[玫瑰][赞]
中华,[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
16岁已成回忆,这男人你在哪里买的，我怎么搜不到，麻烦你把链接发给我吧，谢谢！
玲34047,[赞]
柔情似水,[捂脸]
幸福90761快乐人生,[赞][赞]
丁香1613,[赞]
守望幸福80613,演戏
贵云331,[赞][赞][赞][赞]
阿小雷,[爱心][玫瑰][666][666]
光秀,[赞][赞]
⭐语涵⭐,其实这个胖子挺好的，虽然胖了点，但是最起码知道心疼老婆，这样的日子才是叫做过日子[赞][赞][赞][赞]
雨中的龙,[玫瑰][玫瑰][玫瑰]
🌺 阿香🌺877,[赞][赞]
桑椎,[赞][赞][赞][赞]
！！,[赞]
快乐一生53816,[赞][赞][赞][赞]
一朵花,[赞][赞][赞]
。。欣爷,哪里有干一天小工就能买台洗衣机的地方，我也报名去[龇牙][龇牙][龇牙]
张哲,[笑哭]
姜！！！,[赞][赞][赞]
冯大姐567,[赞]
琴姐从心开始,剧本越演越假
一身平安0234,@[玫瑰]
知足常乐40293,[赞][赞]
紫水晶,胖子不太会说话
చ🥀红尘ꦽ几꯭度ꦻ⃟欢,浙江人吃肉不是不用烧皮拔毛的吗[捂脸]
受伤的小鸟551,[666]
红苹果,[赞][赞][赞][赞][赞]
蟹孝平,主管很像琴琴的婆婆
平安是福40157,啊春这下享福了
白霞,[火][火][火]
妃子笑,现实生活中有这样相处的夫妻吗
梅子,[赞][赞][赞][赞][赞][赞][赞]
User_1549202213348,胖子去帮你买洗衣机去了[赞][赞]
汐儿♛芈,[奸笑][奸笑][奸笑]
哈哈。。，，，。，,[赞]
蓝颜,胖子其实很心疼人 只是不好表达 希望你们越来越幸福[玫瑰]
阳光明媚,[赞][赞][赞][赞]
i喜欢狍子肉藕粉,好男人！评一个五一劳动勋章！
i喜欢狍子肉藕粉,"美女我们这很多二手洗衣机要不要来一个一两台！我们家里是收废品的
！"
🌾🌾命不由人🌾🌾,我也是不知道该做些什么，十年没有好好上过班[捂脸][捂脸]当保姆当得造逆了
User_1602830221334,[挑逗]
User_1602830221334,[挑逗][爱心][玫瑰][比心][赞]
玲珑13314,[捂脸][捂脸][捂脸]
！淡然一笑,[赞]
梦里田园,胖子对老婆太好啦！真心的是个好丈夫![赞][玫瑰]
小风不是小鳳,[赞][赞][赞][玫瑰][玫瑰]
陈朵朵女王,最后的做法挺好的
陈朵朵女王,最反感这种说话的人
亮点,春姐衣服有没有链接
好人一生平安,[赞][赞][赞][赞][赞]
蓝荻,胖子换个说话方式或许大家更喜欢
真爱（永恒）956,[捂脸][捂脸][捂脸][捂脸]
梅子65268,琴琴怎么不见了，去哪里了？
干净利落1043,[赞]
DJ代表430,[捂脸][玫瑰][玫瑰]
向往,[赞]
yhh,[笑哭][笑哭]
美好时光38718,[赞][赞]
花,@[赞][赞][赞]
任容,[赞]
德和黑猪金色交响店180872,[擦鼻涕]
爱情擦肩而过148,[666][666][666][666][666]
窝是小邑,[赞]
袁利,[666][赞][赞]
静静99955,[奸笑]
为你钟情3003,[666][666]
洛溪源梦,@晚晚
A 仔仔！,[赞]
青青草12904,[赞][玫瑰]
欣欣✨学姐🍡,[赞][赞]
珍珍,[火]
沉默就好,[赞][赞][赞]
涂爱平,胖子很疼老婆，都用辛勤的劳动买洗衣机，红烧肉。他就是跟别人的表情不用而已。给胖子点赞！
华鑫印章,[赞]
晨曦,胖子这种表达方式不好
淡然90520,[玫瑰]
夏天65707,[赞][赞][赞]
☀菊☀,[赞]
青春、一落成殘,[666]
紫蝶之纞682,[赞]
微笑过好每一天！？？？？,[赞]
『洪』943,[玫瑰][玫瑰]
快手用户1632916312634,[赞][赞][赞][玫瑰][玫瑰][玫瑰]
。88405,@[玫瑰]
丽豪云节,[赞]
梅姐31095,[赞][赞][赞]
梅姐31095,[赞][赞][赞]
诗情画意,要的就是这效果
勇攀高峰,[火][火][火][火]
快手用户1630945414031,[赞]
心里美,[赞]
慧星5603,[玫瑰]
开心宝22230,[赞][赞]
User_1623726538860,@[玫瑰]
韩九妹051,[666][火][玫瑰][赞]
微笑常在,我有时看到老公上班辛苦给他做饭吃，他说很难吃，后来才知道他是不要我做饭怕我累着，他自己做
人生65667,两口子越来越幸福[爱心]
xscdacs,[哦]
生活的无奈【青木林意字辈,这么好的男人不好遇到了
十里桃花,[赞]
英80918,[玫瑰]
[小英] 雅凡,[666][666][666]
无忧37093,@[赞][赞][赞][赞][赞]
燕过留声762,干活的穿个棉袄，不干活的穿那么单薄不合情合理
徐英菊512,[赞][赞][赞][赞]
星辰大海拥抱你。,[666]
牵手04604,胖子太好了
破产公司、鄂副总裁,运动鞋干活[捂脸]
美好的回忆30434,[赞][赞][赞]
颜家清,不好看了，别播了，
云儿朵朵1256,[哼][哼]
熙熙89080,[赞][赞][赞]
快手用户1654176539068,[笑哭]
扬二哥,[666]
风苑947,[赞]
User_1614845152288,[赞][赞][赞]
风苑947,[玫瑰]
坚执现实,[赞]
雨56860,[赞]
User_1595759396509,[玫瑰]
快手用户1633750066962,[赞]
楠姐,[赞]
六月天4470,[赞][赞][赞][赞][赞]
刘红芳,以前那个男的老实些，实在人
国泉,[奸笑][奸笑][奸笑]
国泉,[奸笑][奸笑][奸笑]
国泉,[666][666][666]
☂JF.,[玫瑰][玫瑰][玫瑰]
云云爱游戏,[赞][赞][赞][赞]
User_1594389721563,[赞][赞][赞][赞][爱心][爱心][爱心][爱心]
珍珍59174,@阿春，现在日子好过了，胖子照顾了[赞]
紫萝兰343,[撇嘴][撇嘴]
在森林麋了鹿,[666][666]
陈三姐,[哼][龇牙][捂脸][调皮][呆住][奸笑][奸笑]
春暖花开59674,[赞][赞][赞]
李秀春920,[龇牙][龇牙]
简简单单的幸福7124,[赞]
快乐一生,[赞][赞][赞][赞][赞][赞][赞]
陈章树,@[赞][赞][赞][赞][赞][赞][爱心][爱心][爱心][爱心]
平平凡凡9009,[赞][赞][赞][爱心][爱心][爱心]
qzuser92648,[赞][赞][赞][赞][赞]
安然,[火][666]
往事如烟,[赞][赞][赞]
张远凤327,[赞]
幸福美满,[赞][赞][赞]
新,[火]
天天开心79693,[赞][赞][赞]
枫叶、洳烟,[赞]
User_1579876642395,[赞][赞][赞][赞][赞]
王红婷259,[玫瑰][玫瑰][玫瑰]
彩虹的 约定,[玫瑰][笑哭][赞]嗯
知足者常乐。,[赞][赞][赞][赞]
平姐7300,[捂脸][捂脸][捂脸]
長情.,[赞][赞][赞][赞][赞]
123,[赞]
快手用户1640916465595,好男人都是上平台了
冷漠68052,[欢迎][欢迎][欢迎][欢迎][欢迎][憨笑][憨笑][我爱你][我爱你][我爱你][我爱你]
方崇枝,[火][火][火][火][玫瑰][玫瑰][玫瑰][玫瑰][双鸡][双鸡][老铁][老铁][老铁][老铁][赞][赞][赞]
忘记91645,[赞][赞][赞]
邹语芯344,[666][666][666]
小乖乖3044,[赞]
简单22323,[赞][赞][赞][玫瑰][玫瑰][玫瑰]
未来34307,[捂脸]
开心果48862,[玫瑰]
飘雪,[赞]
User_1595470455442,[玫瑰][玫瑰][玫瑰]
王蓉4569,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][赞][赞][赞]
迁就你一生49848,[欢迎][欢迎]
快手用户1643461743066,[赞][赞][赞]
飞87088,你着个好男人👨我要有个这样的男多好[哼]
夜色的星空图,胖子这个男人很好。[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
吴英084,特别不喜欢这种说话方式[捂脸]
团团,胖了现在怎么那样好
休心,[赞][赞][赞][赞][赞][赞]
一切安好,[赞]
杨付菊,[赞][赞][赞]
万事如意68443,[赞][赞][赞]
燕孑,[赞][赞][赞]
胡磬颖妈妈,[赞][赞][赞][玫瑰]
🐯🐯🐯🐯🐯,[奸笑][奸笑]
勇敢的红糖,[赞]
黄吉敏,[赞][赞][赞][赞][玫瑰][玫瑰]
百合52252,[玫瑰]
英姿飒爽75566,[火]
石洪东,[666][666][666]
蒲大姐540,@都向这样也没人离婚了[赞][赞][赞][赞][赞][赞]
曾秀群464,[玫瑰][玫瑰]
罗仁琼,[赞][赞]
哈哈,[赞]
美女如花854,现实有这样夫妻吗，不敢相信
会,@[玫瑰][赞]
嘉嘉睡不醒zZ,@[爱心][爱心][爱心]
✔赵家大公子✔,[生气][生气][生气]
转角遇到爱⊙ω⊙,[赞][赞][赞]
望爱💘 却步,[捂脸][捂脸]
香香妹709,[玫瑰]
冰山上的雪莲花381,[赞][赞][赞]
张姐,[赞][赞][赞]
13151888,[666]
明天，你好2921,[玫瑰]
好人一生平安40204,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
A 😘😘 丶  柠萌汁。,[捂脸][捂脸][捂脸]
孙碧兰,[666]
樱桃（李凤萍）,[赞][赞][赞][赞]
快手用户1633093168188,[玫瑰][玫瑰][赞][赞]
白云21841,[玫瑰]
唐丽梅,[赞][赞][赞]
眉眼如初£,[爱心]
明天会更好10348,这才是好老公
牡丹93897,[赞][赞][赞]
平平安安02138,[玫瑰][玫瑰][玫瑰]
笑看人生,[赞][赞]
赵兰6283,[赞]
杨秀芳406,[666][666][666][666][666][666][玫瑰]
方铁君,[爱心][爱心][爱心][爱心][爱心]
苏辞ˡᵒᵛᵉᵀᴺᵀ,[难过]
苏辞ˡᵒᵛᵉᵀᴺᵀ,[难过]
龙再华,人生活着只有几拾年，何必这么辛苦
万仕华,[捂脸]
シ妳ら是我心里说不出的痛,贴
Xiangcai 11,[赞][赞][赞]
fjbyjbb,[笑哭]
想着你♡,[哦][哦][哦]
吴道琴,[赞][赞]
虎年吉祥,[火][赞]
没伞的孩子,[赞][赞]
胡二姐,[赞][赞][赞][赞]
爱家,[赞]
简单8069,[666][666][666][666]
♚檸檬味的貓♚,[赞]
平平安安21571,[赞]
萍姐～白开水,[微笑][微笑]
天天开心11264,[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰]
黎明~『星殇』,[玫瑰][玫瑰][玫瑰][玫瑰]
追求梦想71342,[赞]
生活VIP,[玫瑰]
💧45432,[赞][爱心]
幕落305,@
为祖国强大而努力,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][666][666][666][666][666][666][666]
段秀绪,[撇嘴][撇嘴][撇嘴][我爱你]
段秀绪,[奸笑][奸笑][奸笑][奸笑][奸笑][奸笑][奸笑][奸笑]
段秀绪,[龇牙][龇牙][龇牙][龇牙][撇嘴][撇嘴][撇嘴][撇嘴][撇嘴][撇嘴][撇嘴]
邓家食店,[龇牙]
坚强6657,[赞]
睛天,[玫瑰][玫瑰][玫瑰]
Jenny💕,[赞]
昨晚见鬼了,[猪蹄]
新姑娘 🍒,[微笑]
奋斗46371,[玫瑰]
老黄,[玫瑰][玫瑰]
如烟5481,[玫瑰]
缘份空,[赞][赞]
蘋繁YOU縸,演的还可以。
宋江艳856,[玫瑰][玫瑰][玫瑰]
梦想甄英,[赞][赞][赞][赞][赞][赞][赞]
小丽,[赞][赞][玫瑰][玫瑰]
冰封的心9435,[玫瑰]
马久平我的新号码17345439,[赞]
20223796,原以为胖子是个讨厌的人，没想到是这么好的一男人[赞][赞]，好男人怎么都在别人家[捂脸][捂脸]
英英44997,[捂脸][捂脸][捂脸][玫瑰]
冰山一角40498,又换男朋友了
对你依旧不放弃つ,[笑哭]
袁富琼,[爱心][爱心][爱心]
阿杜🙇,[赞][赞][赞][赞]
雪英2567,[爱心][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][玫瑰]
老雷,视频拍得真的好假，越来越不喜欢了
幸运小草,[爱心][爱心][爱心][爱心][爱心]
静下来的春天,[玫瑰][赞]
独特存,[赞][赞][赞][赞]
美好65061,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
Winter,[赞]
兰妹在新疆,[玫瑰][玫瑰][玫瑰][玫瑰]
空气的味道～,[赞]
到底取啥名儿 ？,阿春那么勤快的人，一下子叫他不做事，可能好不习惯
想你的夜80562,[666]
胡浩mc，（反迷你）,[赞][赞]
User_1601731237846,[赞][赞]
梁婷萱,不喜欢现在的剧情
怀旧：是一种情怀！,[赞][赞][赞][赞][赞][赞]
幸福玫瑰7518,红烧漏江西口音
小燕🚙🚙,[玫瑰][玫瑰]
一帆风顺50810,[赞]
^春日限定🌸苒妍,[赞]
陈玉,[玫瑰]
秋乏.,[赞]
谢,[赞]
不哭就好501,[赞]
微笑！086,模范好丈夫[赞]
秀美花儿053,[玫瑰]
现实,这段拍的好，丈夫疼老婆夫妻感情好，给社会传递正能量，N赞
罗36156,[赞]
帅亖ᴺᵒ是罪,好
small白,早这体贴就不会掰了吧
如馨658,你上辈好事做多了这辈找了个好老公[赞]
User_1580384171767,[玫瑰][赞][赞][赞]
金孕婴童,[火][火]
白色6950,[赞]
谢开琴716,[666][666][666]
张此群,[调皮][调皮][调皮][调皮]
雨墨6637,[奸笑]
冬雪,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
不再回忆往昔415,[优秀][赞][玫瑰]
心锐鹿晗,[666]
照明7085,[赞]
东风不成名小楼,[赞][赞][赞]
苏玖儿,[玫瑰]
断开＠,[赞]
czy,@[调皮]
刘林5590,@
天天开心43146,[玫瑰]
yuco176,[奸笑]
平安是福19580,[赞][赞][赞][玫瑰][玫瑰][玫瑰]
小小小,[玫瑰]
