姓名,评论内容
蜀和春,喜欢我们的生活视频记得关注点赞哦，么么哒！[玫瑰][玫瑰][玫瑰]
余生l y,你一天的戏真的多了[捂脸]
花开富贵,这样的生活很惬意我喜欢 好羡慕你
罗美美888😊🍎,拍视频不是也在干活挣钱吗？
花开富贵,我就特别爱吃花卷[捂脸][捂脸]可惜已经很长时间没吃过了
花开富贵,哟吼[捂脸][捂脸]
月亮湖,胖子说话像上海人
꧁忘ᝰ了ᝰ我꧂,我第一个[爱你]
快乐31548,你演过了那来这么好的男人
兰兰82460,看阿春的长像就是个正直纯洁的一个女人。胖子以前把春春弄丢了现在终于知道心疼阿春了。给你俩点赞
💫晴💫儿,你老公 宁波人？
车舞飞扬690,胖子你是浙江宁波的还是上海的
👄淡然一笑❤💎🐠🐠,浙江话
冰雪59205,上海人
气昂昂272,三轮车还是老高买的吧？？
费二姐🍰,[玫瑰][玫瑰][赞][赞]
幸福随缘。（快乐）,[捂脸]
期待未来7866,[爱心][爱心][爱心][爱心][爱心][爱心]
期待未来7866,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
平安是福19580,[赞][赞][赞][玫瑰][玫瑰][玫瑰]
九一i,[赞][赞][赞]就是说的啥没听懂
吴昊轩！？,[赞]
Coolwoman,[爱心][爱心][爱心][赞][赞][哦][哦][哦]
abby,[赞][赞][赞]
东东39844,[赞][赞]
幸福美满,[赞]
吉祥如意11509,夫妻很恩爱，很怕对方劳累，为你点赞
十里桃花,[赞]
梁三哥996点,不知道胖子说的啥鸡蛋吧
15211822822,[赞]
快手用户1659408395814,[666]
清晨的微风,[赞]
英53497,[赞]
牛奶,[玫瑰]
老公15551,[玫瑰]
重新再来丫,胖哥说话像是浙江人
集美【美甲 美睫 纹绣】,[龇牙]
一生平安,[赞][赞]
快手用户1650436766639,[666][666][666][666][666][666][666]
梦见你不能拥抱289,[赞][赞][赞]
花好月圆76570,[玫瑰]
微笑^V^遮掩是一种痛,就是不真实嘛，净打些假电话
春暖花开55960,[赞][赞]
梦寻千古香132,[赞]:
一叶知秋95694,人家比打工强
32号嫁给你,[爱心]
シ妳ら是我心里说不出的痛,看
家有萌宝,感觉有点不真实[捂脸][捂脸][捂脸]
天天开心35831,[玫瑰][玫瑰][玫瑰]
贺泽会,[爱心][爱心][爱心]
花一样的女人246,[赞][赞][赞]
月亮94601,[星星眼]
晏家二小姐💞,有点像牛爱芳了，都是跟谁谁在家吃个什么不香吗？
忘忧草76932,[赞][赞][赞][赞][赞]
梅May580,[赞][赞][赞][祈祷][祈祷][祈祷]
快手用户1645692503986,[666]
？了不起哟,@[赞]
快乐自我,[666]
一生的错333,[赞][赞][赞][赞][赞]
梅城美多集成灶★小魏,以前还喜欢看你的视频[捂脸]胖子来了后就不想看了
刘梓鑫妈妈,[火][火][火][火]
快手用户1657802584268,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
编号：百事可乐,[赞][赞][赞][赞]
慧柔%,老公变得这么好，阿春有福了
心怡76334,[666][666][666]
伍园秀,[奸笑]
兰心,[赞][赞][赞]
一米阳光20054,胖子是浙江人吗
天天好心情06611,[赞]
彭春香116,[赞][赞]
LLM6919,这个胖子演员，应该是浙江人
123微笑面对每一天,[赞]
开心就好。🌹🌹,[玫瑰][玫瑰]
{DTQ},[赞]
小星星,[赞][赞][赞]
永远幸福54467,[赞][赞][赞][赞][赞][赞]
紧扣幸福648,[赞]
Liquor9444,我想知道春姐的老公是谁[捂脸][捂脸]
静思,[捂脸][捂脸]
User_1577810786740,[赞]
桑榆53203,[赞][赞][赞]
平安就是福,[赞]
心随你动3185,[玫瑰][玫瑰][玫瑰]
兰90218,[赞][赞][赞][赞][赞][赞]
我爱我家人372,@[赞][赞][赞]
雨后,[赞]
Lik李💖🍃,剧情需要嘛[捂脸]
心碎了2089,[玫瑰][玫瑰][玫瑰]
愛意隨风起,好好的在一起
往事如风,喜欢你们的视频[玫瑰][玫瑰][玫瑰]
陈永波波,[赞][火][赞][赞][玫瑰]
刘利平,[赞]
forever＠ ¥,[赞][赞][赞][赞][赞]
&&芳~芳&&,[赞][赞][赞]
王朝芬,[玫瑰][玫瑰][玫瑰]
平安,阿春好久有老公的？[赞][赞]
颖宝宝是个开心果❤️,你一天的戏分真多，说不定连百分之20的真实都没有[捂脸]
琴声美女,[赞][赞][玫瑰][玫瑰]
飞翔,[赞][赞][赞][赞][赞][爱心][爱心][爱心]
鹭媱,[666]
平安是富,男人就是要这样有责任心的，给你点赞[赞]
随风飘QLWXynEG,[赞][赞][赞]
向日葵＠微笑171,[玫瑰]
胡芳兰627,[赞][赞][赞]
快手用户1648078474635,帅哥做的好
吴桂群,[爱心][爱心][爱心]
何云云姐,[赞][赞][赞][赞]
CC41442,[赞][赞][赞][赞][666][666][666][666][666]
梁云517,[赞][赞]
陈大碧,[爱心]
快乐每一天24627,[玫瑰][玫瑰][赞]
梦醒了,[玫瑰][玫瑰]
嘎嘣,原来胖子是浙江的
春天,[赞][赞][赞][666][666][666][玫瑰][玫瑰]
随遇而安13982421855,看阿春的长像就是个正直纯洁的一个女人。胖子以前把春春弄丢了，现在终于知道心疼阿春了，祝你俩幸福永远[赞][赞][赞]
时光人静语,两口子客气的像亲戚一样[捂脸][捂脸][捂脸]
吴青华,[666][666][666][666]
記住彤.,[酷]
花开花落01931,好羡慕你们
花落一瞬间087,可以去拍电视剧了，演技不错。
贵州山歌小美妞儿,如果一个男人赚的钱愿意把她交给女人……那么我相信这个家一定会越来越好……而不是女人要一分拿一分就像寄牙膏似的、那么这个家估计开心不到哪里去……甚至迟早也会散[捂脸]
燕子70494,[玫瑰]
贵州🌺翠姐,好幸福的两口子[赞][赞]
🎐蓝天白云🎐879,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
火凤凰35005,[赞][赞][赞][赞]
刘艳,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
快乐,[爱心][爱心][爱心][爱心][爱心][爱心]
忘记91645,[666][666][666]
老娘不毒何以立足324,好羡慕
珍珍,[火]
A欣554,[赞]
忘掉   ，回憶,[赞]
思莉,[火]
小小🌟💓糖果💓💓,[赞]
xiaoxhan999,见着啥阿春和胖子实在可好了[龇牙][龇牙][龇牙]
幸福家庭,[赞][赞][赞]
我爱我家62179,[赞][赞]
happy兰206,[赞][赞][赞]
芬芳,[赞][赞]
曾付林,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
汤圆🦋,没有以前好看了
晓云☜,春姐，666999支持
李大姐8222,[赞][赞][赞][玫瑰][玫瑰][玫瑰][爱心][爱心][爱心]
秋水伊人,[玫瑰]
怎么开心怎么过,这样的生活很惬意我喜欢 好羡慕你[666]
球球42905,[666][666][666]
高兴17093,[赞][赞][赞]
艳子,[赞]
快手用户1670879026594,@[抓狂][晕][冷汗][抓狂][冷汗][抓狂][抓狂]对公户刚回家经常v不u哈哈i好吧俊不帮你拿那你就把那你。你
吕忠容760,[赞][赞][赞][赞]
周凤玲064,[玫瑰][玫瑰][玫瑰]
天雨💃👗059,[玫瑰][玫瑰][玫瑰][玫瑰]
谢开琴716,[666][666][666][666]
User_1579876740203,[玫瑰]
幺妹3396,[欢迎][欢迎][欢迎]
只能靠自己,[赞][赞][赞]
云中鹤9744,[赞][赞]
真情永远0817,胖子对阿舂越来越好了，好羨慕你们哟[赞]
生活VIP,[玫瑰][玫瑰][玫瑰]
珍好,[赞][赞][赞][赞]
小文4560,[赞][赞][赞]
天天快乐39839,@[赞][赞]
蓝天白云52578,[666][666][666][666][666][666]
小榆亮🌹 🌼 💖（新华保险,好吃[赞][赞][玫瑰][玫瑰]
凡凡,[赞]
迷璃,[笑哭]
平平,[赞]
小野猫22454,[赞][赞]
一生平安21756,[赞][爱心][666]
我的心好累呀233,[爱心][爱心][爱心][爱心]
虚假的情d,太幸福了，[赞][赞][赞]
兰宝宝,[666][666]
美美50783,[赞][赞][赞]
木易,日子是自己过的，自己觉得幸福就好
欢乐颂,[捂脸]
逍遥猪663,胖子对你好，祝你幸福[赞][赞][赞]
天天开心74483,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
顺其自然82643,哦哦
Zjy不忘初心977,[赞]
安然,[火]
且听风吟谭明春,胖子[赞]
开心过好每一天,[赞][赞][赞][赞]
￡殷清琼＆,胖子是上海人？
宁静,[赞][赞]
无可替代5498,[666]
开心每一天04871,[赞][赞][赞][赞]
香香71294,[爱心][爱心][爱心]
血衣战士,[玫瑰][玫瑰][玫瑰][玫瑰]
小,[玫瑰][玫瑰][玫瑰]
佳慧小宝贝小红星走起来,[玫瑰][玫瑰][玫瑰]
小土豆,[666]
陈雪芹345,[流鼻血][流鼻血]
奶昔🍥奶盖🍥,[666][666]
云山风景390,[赞]
张大姐,[666][666][666]
ゞ鉁稀★339,这是哪里的语言
吉祥如意30590,[666][666][666]
User_1605449354594,[赞][赞][赞][赞][赞]
忘掉过去68309,[玫瑰]
User_1597764322869,[玫瑰][玫瑰][玫瑰]
吴翠华109,[玫瑰][玫瑰][玫瑰][玫瑰]
宋兴菊,[爱心]
丝竹语,剪不断理还乱的样子
韩明华在江西 🌱367,现在觉得胖子越来越靠谱了[赞]
肆,[赞][赞][赞][玫瑰][玫瑰][玫瑰][爱心][爱心][爱心]
秋秋,[捂脸][捂脸][捂脸]
容容,[赞]
人生短暂，做快乐的自己,[赞][赞][赞][赞][赞]
仁珍923,[666][666][666]
听羊南淮,[赞]
User_1567219508330,[666]
快手用户1663755351038,[赞]
蒲公英,[赞]
不哭就好501,[赞]
伊一👣,[爱心][爱心][爱心][爱心][爱心][爱心]
徐英菊512,[玫瑰][玫瑰][玫瑰][玫瑰]
宋秀兰,[赞][赞][玫瑰][玫瑰]
木同言成,[赞]
心比ヘ（_ _ヘ）柠檬酸,[666][666][666][666]
快手用户1641859339953,[赞][赞]
一段情愿，一场梦。,[点赞][点赞][点赞][点赞][点赞][点赞]
今生今世,[赞][赞][赞][赞]
秒杀莉莉,[赞]
mceee,[玫瑰]
刘姐,[奸笑][捂脸]
久明,[赞]
开心每一天25894,[玫瑰]
杨小红5569,[赞][赞][赞][赞]
韶华易逝911,[玫瑰]
简简单单11593,[666][666][666][666][666]
刘后英041,[奸笑]
扯淡人生,[呆住]
欧婷玉,[赞]
W🎉🍒Y,[赞][赞][赞]
幺妹7490,[爱心]
青青75037,[赞]
回眸彭小会,[捂脸][捂脸][捂脸]
AA ~ 莫莫,这三轮车是老高买的吧
家纺：,[赞][赞][赞]
自己75891,[火][火][火]
（⊙o⊙）kSCD5oUV,[星星眼][星星眼][星星眼]
梦想飞翔4306,[赞][赞]
山清水秀56340,[赞][赞]
向往未来,[玫瑰]
灵28805,[赞]
江荣书（刘松家长）,[赞]
太阳雨75501,@[赞]
庆丰,[赞][赞][赞][赞][赞][赞]
袁梦专业装修美家居,[赞][赞][赞]
兰兰9346,哟吼[赞][赞][赞][赞][赞][赞]
兰五妹LllL,[赞][赞][赞]
兰花93854,[爱心]
但愿忘掉过去,[赞]
淇淇65019,[赞]
芳芳服装⭕⭕,[赞]
红红,[爱心]
兰7425,[赞]
明莉055,[玫瑰][玫瑰]
迈巴赫O_o,@莽哥的幸福生活
汤姐063,[赞]
Xiaxia398,@躲在暗处笑笑
青38138,[赞][赞][赞][赞]
文文,[赞][赞][赞][666][666][666]
相逢是缘13436,[赞][赞][赞]
沉默是一个女人最大的委屈332,[捂脸]
荷花58921,[赞][赞][赞][赞][赞][赞]
💖开心果💖850,[赞]
海宁1873,@[赞][赞]
油菜花157,[赞][赞]
快手用户1627529695502,[赞]
开心是福7271,[玫瑰][玫瑰]
牧夏,我倒是要看看，你们的戏能演到什么时候[白眼]
小陈解说,[赞]
小陈解说,[赞]
错过,[玫瑰]
🍀,老高很好
心想事成83773,[赞][赞][赞]
雨中漫步44338,[赞]
快乐一生!280,[赞][赞][赞][赞][赞]
仑咖若,[玫瑰][玫瑰][玫瑰][玫瑰]
随风而去03722,手艺不错[赞][赞]
兰姐（吴二姐）,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
张丽萍2808,[赞][赞][赞]
yuan莲202,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
向日葵38122,[赞]
魅力吖頭,[赞]
寒更雨歇551,[火]
快乐一生,[玫瑰][玫瑰][赞][赞]
英子,美女你泡的酸菜放什么，我想学
重新开始新生活708,[爱心]
🐏₁伈欣᭄࿐,个阿弟要刮的来
金主514,@[祈祷][祈祷][祈祷][祈祷][祈祷][666][666][666][666][玫瑰][玫瑰][玫瑰][赞]
蓝颜,这样的生活很惬意我喜欢 好羡慕你
晨光52787,对惯着支持
^ঞ᪲ꦿ余生᭄只ꦿ爱᭄你,[捂脸]
王翠平1953,[玫瑰][玫瑰]
四妹0463,这个叫生活
黄姐,[666][666][666][666][666]
水墨天山,[爱你]双击666[赞][赞][赞]
小🌸同学&,[赞]
♚ 局外人ᯤʸy,[666]
97文案馆ᯤʸᵒᵘ,[666]
快手用户1675488980355,[火]
岁月不饶人5396,真是戏多[捂脸][赞]
缘份103,[捂脸][捂脸][捂脸]
汤红英575,这个男的说的是浙江话
江湖之情.,[赞][赞][赞][赞][赞]
我是一个大小美,[爱心]
可爱多,[赞][赞][赞]
英💗子💋,[666]
周乐霞,中
❤红红❤❤的雨❤,[666][666]
幸福^_^511,两个人是相互的，不是说谁多干谁少干，只要两个在一起，家庭都是两个人共同的
燕芬,好羡慕的生活
天天真,[赞]
酷爱丹哥✨,@拒绝骚扰☀ 看看
闲云白鹤影视剧,[玫瑰][玫瑰][玫瑰]
i喜欢狍子肉藕粉,夫妻夫妻同心哪怕天天吃素都是开心的！！！
春天的风4669,[赞]
徐乃淑,[赞][赞][赞]
曾大姐,[赞][赞]
刘华008,[赞][赞][赞]
活出个熊样。,[赞]
情感类型男帅我叫李娜我是,[赞][赞][赞]
时光i435,大哥就是胖子[笑哭]
💃红组,这哥也是阿春那么勤快的人还说人[奸笑]
纯洁无瑕,[赞][赞][赞][赞][赞][玫瑰][玫瑰]
一帆风顺21956,[666]
叶子10308,[玫瑰][玫瑰]
记住快乐时光,@[玫瑰]
情海孤舟688,[赞][赞][赞]
幸福87518,[赞][赞][赞]
年年好运来,[龇牙][龇牙][龇牙][龇牙]
