姓名,评论内容
蜀和春,日子有甜有咸，生活有苦有乐，不变的是我们对未来的期望和憧憬，不改的是我们对一切的初心和坚持[抱抱][抱抱][爱心]
❤️小凤（孕晚期）,现在视频风格 貌似比较金贵矫情  没之前好看了[笑哭][捂脸]
御兔❦瑶瑶❦,自从胖子哥来了，剧情就变味了，没有以前和琴琴拍的自然，开心，接地气，多了一些矫情做作，个人观点，不要喷[笑哭]
平凡逗逗乐,你至少有两三个老公吧
回首,有点假
善意的谎言（ꂃꐩꃅꈱꅄ）,只要夫妻恩爱，用不着山珍海味，一个棒棒糖就够了[爱心]
ღ᭄ꦿ °如愿এ⁵²º᭄এ,视频杂越来越假。
♀玉萍❣️,老高呢
筱晓,[龇牙][龇牙][龇牙]
江南雨2542,这是阿春去江浙认识的老公吗[龇牙]
茉莉花8332崔崔618,[捂脸][捂脸][捂脸][捂脸]
快手用户1656653396300,[赞][赞][赞]
User_1569032960870,[爱心]
，，,[赞][赞][赞][赞][赞][赞][赞]
无怨无悔72123,[赞][赞][赞][赞][赞][赞]
惊鸿一瞥,胖子吃饭不洗手，逛了一大圈不洗手就抓菜吃，不讲卫生
开心每一天00629,[赞][赞][赞]
嫒媛,[赞]
李瑶,[玫瑰]
真,[捂脸][捂脸][捂脸]
爱我所爱10662,做得好吃
6058号,老高呢
李成梅851,[赞][赞][赞]
nice菊,[赞][赞][赞]
创文相逢,越来越无聊了
无所谓2218,阿贞真幸福的，胖子人真好的。还蛮细心的。[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
Yin英,[玫瑰][玫瑰][玫瑰]
美好时光54480,日子过的好啊[赞][赞][赞][赞][赞][赞][赞]
ᥬ😂᭄小周,还是老高好
💞 开心快乐💫691,[赞][赞][赞]
金秋夏月,[玫瑰]
幸福快乐,[捂脸]
空谷幽兰,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
杨国素,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
雪梅64905,@[赞][赞][赞]
今生有缘53206,[玫瑰][玫瑰][玫瑰][玫瑰]
八月的雨,[赞][赞][赞]
郑大汉儿,[赞][赞][赞][赞][赞][赞]
二姨435,[赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
过的自己,[奸笑]
清风63045,[赞]
（奋斗）、（木）,[调皮][奸笑]
怡怡,[赞][赞][赞]
东29359,[玫瑰][玫瑰][玫瑰]
陈学如726,[赞][赞][赞]
老妈,[赞][赞][爱心][爱心][火][火][666][666]
450༊࿆烈酒伴浓烟*ꦿ,[赞][赞]
落尽芳华＠981,[赞][赞][赞]
显慧182,[666][666]
秉诚,[赞][赞][赞]
君莉,[666]
User_1574089143233,[笑哭][笑哭][笑哭][笑哭][笑哭][笑哭]
路边的小疯子,[火]
唐光鞠,@[爱心]
农民华姐779,[赞][赞]
霞ヾ☺,[捂脸]
英（fqy）,[赞]
self,[赞]
快乐宝贝,[火]
快乐宝贝,[火]
好运来94117,[玫瑰]
好运来94117,[赞]
陈陈16069,[赞][赞][赞][赞][赞][龇牙]
邹木元,[赞][赞][赞][赞][赞][赞][赞][赞]
爱你 不完,[奸笑]
清汭,[爱心][爱心][爱心][爱心][爱心][爱心][爱心]
罗民,[赞][赞][赞]
忘记34061,[色][色][色]
一生平安，.+,[玫瑰]
一生平安，.+,[爱心]
不以物喜.不以己悲🍀.,[666]
平平淡淡才是真,[玫瑰][玫瑰]
陈先会,[赞]
风格81957,[赞][赞][赞]
💝永恒的玫瑰💝,[赞]
斌麟,[赞][赞][赞][赞][赞][赞]
每天快乐5561,[赞]
翠珊9269,[赞][玫瑰]
mceee,[玫瑰]
寤誷,[玫瑰]
庞春连341,[玫瑰][玫瑰][玫瑰][玫瑰]
琴,[赞][赞][赞][赞]
人活着好累512,很好
。,[赞]
爱恰榴莲,[赞]
梦想成真01614,[赞]
谁是谁的谁29477,@[赞]
红🌺 尘🌺645,@[赞][赞][赞]
＠啊罗，爱唱歌,[玫瑰][玫瑰][玫瑰][玫瑰]
mei94474,[666]
吉祥如意56564,好吃
快手用户1638197788294,[火][火][火][火][火][666][666][666]
李楠,[玫瑰][玫瑰][玫瑰]
开心果02453,[玫瑰][玫瑰][玫瑰][玫瑰]
谢明清653,[赞][赞][赞][赞]
User_1622000282009,[赞][赞][赞][赞][赞][赞][赞]
快手用户1665111437017,[赞][赞][赞][赞][赞][赞][赞][赞][赞]
邓连英393,[赞][赞]
王。我自己,[赞]
惜梦,[玫瑰]
开心27359,[赞]
天豹家冷暖自知98012,有人心疼了[赞][赞][赞]
农村（飞哥冲万粉）,平淡有爱也是幸福的
Huke,[玫瑰]
离4963,[666][火]
离4963,[爱心]
离4963,[玫瑰]
离4963,[火][赞]
范琼仙,[赞]
A小傻瓜440,[赞][赞]
含辛如苦514,[爱心]
唐安平176,好样的
魅力9857,[赞]
FUYingMei,[玫瑰][玫瑰][玫瑰]
User_1574496615185,[赞]
小华46700,[赞][笑哭]
希望明天会更好4178,@[赞][赞]
爱的💋 承诺741,[火]
平安是福19580,[赞][赞][赞][玫瑰][玫瑰][玫瑰]
馨瑶,[赞]
爱你,[玫瑰][玫瑰]
岳岳,[赞][赞][赞]
杨大姐yzh,[玫瑰]
赵献菊,[赞][赞][玫瑰][玫瑰]
朴树村,[赞]
刘姐,[奸笑][捂脸]
岁月静好,[666][666][666][666][666][666][666][666]
真爱永恒98024,[赞][赞][赞]
快手用户1675309788685,[玫瑰][玫瑰][玫瑰][玫瑰]
丁香1613,[赞]
红苹果62447,[赞][赞][赞]
冉姐13174,[赞][赞][赞]
任福兴,[捂脸]
涵梦似若仙...,[赞]
M浪子熊,[赞]
荣,[玫瑰]
🌿,[爱心]
华70973,@[赞][赞]
丽珍,[赞][赞][赞]
丽珍,[赞]
smile64365,[赞][赞]
lp3797,[玫瑰]
梅,[玫瑰][玫瑰][玫瑰][火]
小刘0798123,[赞][赞]
lp3797,[玫瑰]
香姐,[玫瑰]
平平,[火]
上官珍,[666][666][666][666]
叶子10308,[玫瑰][玫瑰]
秀,[火]
等待奇迹hiAHYfwO,[666][666][666][666][666][666]
豆芽机,[赞][火][火][666][666]
岁月静好80686,[赞][赞]
叶少燕,[赞][赞][赞][赞][赞]
迪迦戴拿盖亚泽塔赛罗赛文,[赞]
兰花草50069,[爱心]
快手用户1646406230838,[赞][赞][赞][赞]
琴儿69024,[玫瑰][玫瑰][玫瑰]
转身  泪也倾城,[赞]
财哥8566,[火]
开心＠快乐408,[赞][赞]
开心就是幸福,@[666][666][666]
''怪我们始终太念旧ゝ',[赞]
碧玉蓝天732,[优秀]
沐沐,[赞][赞]
吉祥,[赞]
夏日的玫瑰145,[666][666][666][666][666]
戴春霞,[赞][赞]
、簡單陪絆,[装傻]
梅716,[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰]
何大江013,[爱心]
玫瑰人生,[赞][赞][赞][赞]
风中的承诺,[赞][赞][赞]
926+81,[666]
好运35856,[玫瑰]
东东39844,[赞][赞]
唐姐485,[火]
User_1577197611600,[赞][赞][赞][赞]
张贵宣,[奸笑]
快手用户1641907475323,[赞][赞][赞]
真心❤相对,[666][赞][爱心]
牛奶,[玫瑰]
金坪迎奥合作厅,[赞][赞][赞][赞]
随心自如763,[赞][赞]
旺仔浩,[玫瑰]
明天会更好65645,[玫瑰]
天天快乐22899,[玫瑰][玫瑰]
千舟山水,勤快媳妇[赞]
水晶城堡的月光,[赞]
恋鞠奶酥,@[赞][赞]
＠凤558,[赞][赞][赞]
天空71075,[赞]
hytg,[赞][赞][捂脸]
为你钟情3003,[666][666]
墩墩儿（//∇//）,[赞][赞][赞]
随遇而安13982421855,胖子过去对阿春关心不够，所以才导致离婚；现在他想跟阿春复婚，是应该好好表现表现，不存在阿春矫情一说，应该是现在有胖子疼了，会感觉幸福些了吧！[憨笑]
燕♥子297,[爱心]
云鼎🏆淑菲,[捂脸]
春暖花开,[666]
幸福87518,[666][666][666]
User_1596184637032,[666][玫瑰]
User_1557302995946,[赞][赞][赞]
罗庆文108,[赞][赞][赞][赞]
缘来是你,[666][666][666]
铃铛,[赞]
快手用户1637646327321,[赞][玫瑰][玫瑰]
敏83519,[赞][赞][赞]
美美6067,[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
退休的老奶奶,[赞][赞][玫瑰][玫瑰]
红紅火火88046,[玫瑰]
苟建琼,[玫瑰][玫瑰][玫瑰]
為ˡᵒᵛᵉ祈禱.,[赞][赞][玫瑰]
瑲茕,[玫瑰]
喜之郎果冻211,[赞][玫瑰]
红红书语,[赞]
🐠上你是我的缘,[赞]
User_1587811665034,@[赞][赞][赞]
心语心愿52842,[赞][赞][赞]
笑对人生5NCHtvVl,[赞][爱心][玫瑰]
但愿忘掉过去,[赞]
慕晨,[笑哭]
美好的594874,@[赞][赞]
咖啡不加糖,[666]
快手用户1658146343032,[赞][赞][赞][赞][赞][赞][赞]
南昌世界,[赞]
一生幸福63972,[赞][赞][赞][赞]
精灵87833,[赞][赞][赞][赞]
幸福约定40498,[玫瑰][玫瑰][玫瑰]
谦谦,[赞][赞][赞]
心如止水52512,[爱心][爱心]
香香妹709,[赞]
紫色＠薰衣草337,[玫瑰]
张智,[赞][666]
wuliyun143,[赞][赞][赞][赞]
大足五金（田××）,[赞]
yin6899,[666]
春菊793,[666]
czy,@[666]
乖乖╭牌,[微笑]
随遇儿安656,只要夫妻恩爱，用不着山珍海味，一个棒棒糖就够了[爱心]
KS❀毛肚,[666]
艾梦琼,[火]
ঞ᭄余生终未归᭄ꦿ้࿐,[玫瑰][玫瑰][玫瑰]
静静煕煕150,[赞][赞][赞][赞][赞][玫瑰]
过好每一天81633,[爱心][赞]
芬&芳（⑉°з°）-♡,[赞][赞][赞]
欧孟英,[玫瑰][玫瑰][玫瑰]
贝贝,[赞]
周莉7726,[赞][赞][赞]
User_1613043382379,@[赞][赞][赞]
百合,[爱心][爱心]
芬&芳（⑉°з°）-♡,[赞][赞][赞][赞][赞][赞]
晴天83248,[赞]
初见,[比心][打招呼]
小王05415,[赞][赞]
开心,[666]
韦霞630,[赞]
一天又一天😆541,[赞][赞][666][666]
怦然心动7500,[赞]
集美【美甲 美睫 纹绣】,[龇牙]
