姓名,评论内容
小豆丁0390,看哭了的排队啦，太爱这狗狗啦！比孩子还懂事呢！[赞]
塞外孤狼998,太感人了，人都做不到这样子！！！
贵州菲宝💕,羡慕不来的路虎！一直支持你！你是我看过最感动的一只真实的狗狗！[爱心][爱心]
傲然493,我看哭了[赞][赞]
人生一场堵局，你赢了吗？,[赞][赞]路虎太棒了[赞][赞]
花开半夏70089月暗香,看了好感动啊金毛如此对主人的忠诚一次又一次的流泪为金毛点赞好样的太不容易啊[赞][赞][赞][赞][赞][赞]
小枣村主治烫伤电伤褥疮烧,这狗狗真好我都看哭了
一天到晚游泳的青蛙🐸,路虎太懂事了！每个视频都让我流泪！太感人了！[赞][赞][赞]给路虎点个大大的赞
温馨有家,好可怜的狗狗！真懂事[赞][赞]
像雾像雨又像风ok,狗狗，你太懂事，太乖了！！！
💖茉莉清香💝,我好感动[赞][赞]
树叶82278,太感人了！
xhyl............,拍摄裁剪的太好了，狗狗表现的太感人了
吴志萍779,为狗狗点个[赞]
꧁姨娘꧂,看哭了，多乖的小家伙
曦曦3192,每次看到路虎的段子，都感动的流泪！永远支持路虎！加油！[赞][赞][赞][赞][赞]
岫励（责任）,😭泪水让我御下妆，太感动了！
苦茶坪⋆̩☂︎*̣̩龚方,太感人了，人都做不到这样子！！！
☀️红日3121,好感动！好懂事儿的毛孩子！[赞][赞][赞]
方块轩 下次一定,好好珍惜他狗是人类的好伙伴 [玫瑰]
回眸一笑7885,狗狗，你不觉得那个袜子很臭吗？还用还用嘴咬。
吉人天相439,[落泪][落泪][落泪][赞][赞][赞]
爱过.,我都要哭了[大哭]
登登的粉丝❤️,好感动
女狠手,@冰冷的輝⚜️
睡得不饱.,@淡笑看过尘世 这狗好聪明[可怜]
阳晨292,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][花谢了][花谢了][花谢了][花谢了][花谢了][花谢了][花谢了][花谢了][花谢了]
溪水 ๑҉,看哭了[大哭]
晓静,不养狗的人根本不理解，自从我养了狗，我也理解，我从小就爱狗[祈祷][祈祷]
🌹 京晨光文具,真的懂事，比人都强[赞]
图片哥风流人物,[赞][赞][赞]
金镶玉5917,[赞][赞][赞][赞]
🍑牵挂🍑,[大哭][大哭][大哭][大哭][大哭][大哭]
KaDiR- 🥋,@牵你的手💒Sabinu [奸笑]
快手用户1657856668325,@[狗粮][赞][点点关注][点点关注]
〽_んü㎡αяï㎡_〽,一边看 一边哭  真的让人感动了 ，，[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]
快手用户1677486823344,@故事与你
悦宝L,[爱心][爱心][爱心][赞][赞][赞]
